Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分31秒   999    138978   58.00   13.00    0.00    0.00   71.00     2   2519.00      0.00 2679452  125388   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分32秒   999    138978  184.00   32.00    0.00    0.00  216.00     2  55409.00      0.00 2705836  144904   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分33秒   999    138978  180.00   37.00    0.00    0.00  217.00     2  91768.00      0.00 2704532  146296   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分34秒   999    138978  179.00   35.00    0.00    0.00  214.00     2  80584.00      0.00 2717432  153612   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分35秒   999    138978  181.00   38.00    0.00    0.00  219.00     2 100169.00      0.00 2714948  155488   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分36秒   999    138978  181.00   36.00    0.00    0.00  217.00     2  92730.00      0.00 2719116  156824   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分37秒   999    138978  175.00   44.00    0.00    0.00  219.00     2  97279.00      0.00 2718688  155372   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分38秒   999    138978  185.00   30.00    0.00    0.00  215.00     2  83436.00      0.00 2720648  156556   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分39秒   999    138978  179.00   40.00    0.00    0.00  219.00     2  92637.00      0.00 2718708  156920   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分40秒   999    138978  172.00   42.00    0.00    0.00  214.00     2 101552.00      0.00 2724228  161184   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分41秒   999    138978  183.00   32.00    0.00    0.00  215.00     2  90433.00      0.00 2722764  159588   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分42秒   999    138978  183.00   34.00    0.00    0.00  217.00     2  93282.00      0.00 2717732  157260   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分43秒   999    138978  179.00   36.00    0.00    0.00  215.00     2  96378.00      0.00 2726344  159612   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分44秒   999    138978  175.00   40.00    0.00    0.00  215.00     2  87418.00      0.00 2716428  154600   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分45秒   999    138978  177.00   40.00    0.00    0.00  217.00     2  90810.00      0.00 2713416  152876   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分46秒   999    138978  179.00   35.00    0.00    0.00  214.00     2  86939.00      0.00 2718164  153068   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分47秒   999    138978  185.00   33.00    0.00    0.00  218.00     2  88181.00      0.00 2724104  160748   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分48秒   999    138978   14.00    2.00    0.00    0.00   16.00     2   6259.00      0.00 2713944  156932   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分49秒   999    138978   61.00   17.00    0.00    0.00   78.00     2  19001.00      0.00 2771628  201264   0.62  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分50秒   999    138978  184.00   43.00    0.00    0.00  227.00     2  24156.00      0.00 2765144  205296   0.63  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分51秒   999    138978  170.00   54.00    0.00    0.00  224.00     2  22730.00      0.00 2768688  211232   0.65  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分52秒   999    138978  174.00   49.00    0.00    0.00  223.00     2  23401.00      0.00 2767148  207152   0.63  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分53秒   999    138978  171.00   49.00    0.00    0.00  220.00     2  30489.00      0.00 2773488  211664   0.65  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分54秒   999    138978  168.00   54.00    0.00    0.00  222.00     2  23875.00      0.00 2768612  206632   0.63  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分55秒   999    138978  176.00   47.00    0.00    0.00  223.00     2  24803.00      0.00 2769448  211088   0.65  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分56秒   999    138978  173.00   51.00    0.00    0.00  224.00     2  27468.00      0.00 2765808  207692   0.63  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分57秒   999    138978  171.00   53.00    0.00    0.00  224.00     2  25709.00      0.00 2765748  206612   0.63  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时54分58秒   999    138978  170.00   52.00    0.00    0.00  222.00     2  27442.00      0.00 2768000  207464   0.63  beam.smp

