id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-fill,1.001,51688,,51366,0,,,,,,,237,1376,6269,9432,19011
q5-fill,2.000,62077,,61898,0,,,,,,,572,6258,7594,11125,12871
q5-fill,3.000,62270,,62270,0,,,,,,,371,6684,7967,11294,13203
q5-fill,4.000,62417,,62417,0,,,,,,,405,6545,7761,11127,12435
q5-fill,5.000,60421,,60800,0,,,,,,,290,6626,8750,11751,12528
q5-fill,6.000,62230,,61851,0,,,,,,,316,6442,7746,11339,12769
q5-fill,7.000,61663,,61787,0,,,,,,,310,6534,7911,11844,13292
q5-fill,8.000,61155,,61031,0,,,,,,,481,6512,7812,11534,12816
q5-fill,9.000,60616,,60616,0,,,,,,,470,6504,8119,11441,12506
q5-fill,10.000,62142,,62142,0,,,,,,,356,6558,7869,11258,12620
q5-fill,11.000,62056,,62056,0,,,,,,,322,6499,7798,11173,12634
q5-fill,12.000,62215,,62346,0,,,,,,,444,6459,7878,11426,12449
q5-fill,13.000,60781,,60650,0,,,,,,,494,6700,8189,11516,13292
q5-fill,14.000,62362,,62689,0,,,,,,,468,6560,7821,10883,12438
q5-fill,15.000,61009,,60792,0,,,,,,,390,6573,8133,11653,13198
q5-fill,16.000,60584,,60709,0,,,,,,,477,6610,8242,11085,12791
