id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,33650,,33199,0,33067,248,7353,12832,19723,24715,95,1753,5322,10797,14421
warmup,2.000,55365,,55324,0,55583,312,6302,8617,18655,24033,128,6692,8126,9802,12075
warmup,3.000,61242,,61235,0,61284,3085,6120,7244,8779,9539,2752,7844,8761,10003,11147
warmup,4.000,60482,,60487,0,60470,2782,6053,7143,8555,9624,2491,8088,8826,9923,10641
warmup,5.000,60529,,60530,0,60394,393,6700,8800,11313,12745,452,7983,8845,10129,11718
warmup,6.000,59940,,59934,0,60015,3221,5932,7101,8694,10006,3626,8074,8779,9889,10535
warmup,7.000,60949,,60949,0,61045,2672,6133,7171,9459,10279,3224,7980,8842,9945,11247
warmup,8.000,61119,,61119,0,61083,1975,6167,7303,8985,10531,1937,7976,8759,9847,11460
warmup,9.000,62604,,62604,0,62408,2728,6079,7207,8984,10253,2258,7733,8396,9469,10746
warmup,10.000,63440,,63440,0,63452,2802,6557,7617,9476,15273,3582,7665,8361,9583,10557
warmup,11.000,62515,,62516,0,62683,2056,5703,6497,8819,10241,1437,7751,8424,9663,10464
warmup,12.000,61492,,61491,0,61465,3265,6931,8211,10366,11660,1062,7704,8603,9728,11041
warmup,13.000,62386,,62390,0,62455,1093,5981,6914,8499,10019,3051,7750,8506,9515,10314
warmup,14.000,62734,,62730,0,62753,2463,6121,7837,9551,11092,3028,7721,8501,9651,10764
warmup,15.000,62640,,62641,0,62380,3214,6560,7706,9695,10713,3306,7639,8553,9742,10599
warmup,16.000,62973,,63019,0,63043,2999,6197,7309,9385,10742,3705,7687,8488,9716,10470
warmup,17.000,64134,,64088,0,64147,3446,6163,7526,9862,11920,3545,7600,8287,9507,10153
warmup,18.000,64212,,64213,0,64349,3159,6420,7813,9890,10969,2639,7608,8408,9501,10096
warmup,19.000,62741,,62740,0,62747,3381,6671,7622,8888,9428,3033,7663,8476,9564,10672
warmup,20.000,60872,,60872,0,60785,2444,6249,7439,9264,10835,3351,8009,8845,10102,10975
warmup,21.000,60981,,60981,0,60944,3154,6316,7434,9295,10194,3541,8014,8995,10084,10800
warmup,22.000,60950,,60950,0,60770,3383,6121,7055,8682,9548,3888,8044,8793,9845,10532
warmup,23.000,61830,,61830,0,62183,2785,6140,7332,9325,10375,3720,7841,8611,9694,10360
warmup,24.000,62198,,62269,0,61915,3108,6351,7713,9956,12311,4246,7834,8585,9583,11065
warmup,25.000,61665,,61594,0,61901,3489,7694,9184,11270,12328,2830,7702,8715,10234,11117
warmup,26.000,63531,,63647,0,63424,2560,6413,7636,9619,10279,3380,7665,8351,9433,10121
warmup,27.000,60057,,59941,0,60014,3100,6511,7939,10412,33431,3407,7877,8614,10030,10926
warmup,28.000,61526,,61530,0,61691,1962,6291,7733,9942,11565,2955,7929,8839,10000,10670
warmup,29.000,61693,,61695,0,61545,3128,5874,7037,8975,10705,3542,7786,8586,9714,11121
warmup,30.000,62249,,62270,0,62349,2985,6023,6730,8122,8766,2514,7716,8493,9702,10550
warmup,31.000,62214,,62187,0,62093,2917,6101,7075,8573,9311,2271,7836,8675,9706,10390
warmup,32.000,61676,,61693,0,61684,3031,6120,7038,8603,10237,2598,7931,8726,9831,10464
warmup,33.000,62597,,62580,0,62742,760,6269,7263,9219,10469,241,7588,8398,9529,10231
warmup,34.000,61569,,61577,0,61555,3161,5734,6809,8310,9192,3271,8040,8691,9825,10683
warmup,35.000,61320,,61319,0,61379,2895,5880,6963,8219,9218,4820,7929,8699,9830,11033
warmup,36.000,59991,,59987,0,59953,1470,6085,7433,10127,12048,1335,8117,9037,10216,13035
