Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分02秒   999     97322    4.00    1.00    0.00    0.00    5.00     2    162.00      0.00 2668588  119820   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分03秒   999     97322  236.00   73.00    0.00    0.00  309.00     2  42923.00      0.00 2730448  164432   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分04秒   999     97322  266.00  106.00    0.00    0.00  372.00     2  35182.00      0.00 2717576  159044   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分05秒   999     97322  262.00  109.00    0.00    0.00  371.00     2   4055.00      0.00 2715664  158908   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分06秒   999     97322  260.00  110.00    0.00    0.00  370.00     2   3604.00      0.00 2714976  157712   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分07秒   999     97322  260.00  104.00    0.00    0.00  364.00     2   2848.00      0.00 2711976  158132   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分08秒   999     97322  259.00  107.00    0.00    0.00  366.00     2   3505.00      0.00 2710492  156620   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分09秒   999     97322  267.00  107.00    0.00    0.00  374.00     2   3239.00      0.00 2711500  157412   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分10秒   999     97322  260.00  107.00    0.00    0.00  367.00     2   2068.00      0.00 2710236  156976   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分11秒   999     97322  243.00  122.00    0.00    0.00  365.00     2   1680.00      0.00 2711772  157560   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分12秒   999     97322  253.00  110.00    0.00    0.00  363.00     2   1766.00      0.00 2711116  157456   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分13秒   999     97322  254.00  105.00    0.00    0.00  359.00     2    847.00      0.00 2710972  156784   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分14秒   999     97322  253.00  106.00    0.00    0.00  359.00     2    737.00      0.00 2710460  157588   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分15秒   999     97322  266.00   97.00    0.00    0.00  363.00     2    566.00      0.00 2710808  157080   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分16秒   999     97322  258.00  109.00    0.00    0.00  367.00     2   1397.00      0.00 2710664  157132   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分17秒   999     97322  253.00  111.00    0.00    0.00  364.00     2   2138.00      0.00 2711220  156492   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时44分18秒   999     97322  248.00  114.00    0.00    0.00  362.00     2   1627.00      0.00 2710852  155780   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
