Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分50秒   999    120832    3.00    2.00    0.00    0.00    5.00     2    241.00      0.00 2671284  122080   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分51秒   999    120832  220.79   58.42    0.00    0.00  279.21     2  78640.59      0.00 2773892  191860   0.59  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分52秒   999    120832  292.00   86.00    0.00    0.00  378.00     2 115714.00      0.00 2765676  197748   0.61  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分53秒   999    120832  293.00   85.00    0.00    0.00  378.00     2  77249.00      0.00 2747440  183956   0.57  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分54秒   999    120832  267.00  111.00    0.00    0.00  378.00     2   3648.00      0.00 2743508  180912   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分55秒   999    120832  264.00  113.00    0.00    0.00  377.00     2   3947.00      0.00 2744164  180816   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分56秒   999    120832  277.00  101.00    0.00    0.00  378.00     2   2992.00      0.00 2743364  181676   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分57秒   999    120832  277.00   98.00    0.00    0.00  375.00     2   2016.00      0.00 2743044  181872   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分58秒   999    120832  268.00  109.00    0.00    0.00  377.00     2   1366.00      0.00 2740628  180384   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时57分59秒   999    120832  277.00  100.00    0.00    0.00  377.00     2   1562.00      0.00 2739920  178988   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分00秒   999    120832  274.00  104.00    0.00    0.00  378.00     2   1836.00      0.00 2739408  178160   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分01秒   999    120832  273.00  104.00    0.00    0.00  377.00     2   1345.00      0.00 2738160  176876   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分02秒   999    120832  273.00  105.00    0.00    0.00  378.00     2   1765.00      0.00 2737568  176496   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分03秒   999    120832  270.00  107.00    0.00    0.00  377.00     2   1072.00      0.00 2736180  175876   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分04秒   999    120832  272.00  106.00    0.00    0.00  378.00     2    794.00      0.00 2735076  176216   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分05秒   999    120832  271.00  106.00    0.00    0.00  377.00     2   1086.00      0.00 2735220  175980   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时58分06秒   999    120832  270.00  104.00    0.00    0.00  374.00     2   1230.00      0.00 2734260  174808   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
