id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32032,,31868,0,31425,384,14782,20536,37132,51054,93,1852,3786,8234,18878
warmup,2.000,54116,,53779,0,54330,752,8286,19973,37036,39912,224,7448,8993,12636,17071
warmup,3.000,64731,,64731,0,64766,2199,5506,6472,8881,12191,1258,7433,8166,9275,9948
warmup,4.000,62179,,62274,0,62241,2230,5125,6033,8432,9731,1042,7733,8665,9851,10997
warmup,5.000,61453,,61366,0,61478,2069,5286,6025,7466,8495,1029,7834,8664,9722,10548
warmup,6.000,60320,,60312,0,60316,3301,5470,6434,21275,39028,3436,7840,8726,10021,18695
warmup,7.000,62495,,62495,0,62266,2599,5185,5946,7481,9162,2166,7749,8530,9549,10243
warmup,8.000,62474,,62479,0,62655,2573,5214,5915,7989,9150,561,7601,8638,9720,10373
warmup,9.000,63693,,63731,0,63748,2240,5269,5930,7129,8090,364,7602,8373,9327,10052
warmup,10.000,62532,,62489,0,62481,2154,5525,6478,7775,8907,2215,7662,8523,9673,10407
warmup,11.000,62775,,62775,0,62885,2759,5789,6833,8782,10264,2304,7740,8600,9616,10195
warmup,12.000,61501,,61501,0,61478,2111,5407,6397,8438,9418,1857,7827,8775,10109,11272
warmup,13.000,62432,,62501,0,62327,2093,5225,6001,7430,8175,1329,7967,8696,9870,10458
warmup,14.000,65279,,65210,0,65162,2787,5548,6752,9023,10690,2473,7407,8186,9414,10054
warmup,15.000,63372,,63372,0,63474,2839,5016,5712,7126,8117,3556,7654,8457,9453,10309
warmup,16.000,62292,,62295,0,62293,1992,5314,5945,7018,7756,3481,7833,8715,9864,10709
warmup,17.000,62531,,62532,0,62630,1660,5045,5901,7174,8341,3329,7756,8543,9787,10815
warmup,18.000,64513,,64551,0,64325,2510,5080,5762,7312,8092,2708,7620,8300,9253,10436
warmup,19.000,64230,,64188,0,64435,2379,5243,6077,7530,8548,3408,7447,8246,9413,10236
warmup,20.000,63216,,63225,0,63076,2787,5338,6178,7553,9093,2842,7643,8342,9559,10464
warmup,21.000,60072,,60064,0,60054,2965,5380,6442,13632,35236,4226,7924,8896,10305,19582
warmup,22.000,64101,,64100,0,64170,2819,5166,6001,7258,8213,4294,7569,8365,9547,10276
warmup,23.000,65187,,65213,0,65250,3042,5295,6058,7828,9103,3578,7322,8050,9257,10522
warmup,24.000,65260,,65317,0,65152,2343,5102,5728,6851,8035,3603,7446,8184,9216,10059
warmup,25.000,64323,,64240,0,64422,2849,5248,6081,7475,8002,3248,7436,8209,9367,9921
warmup,26.000,63049,,63062,0,62860,2060,5390,6326,7673,8896,2724,7736,8570,9640,10430
warmup,27.000,63125,,63126,0,63185,2803,5339,6108,7527,8483,3558,7720,8567,9604,10128
warmup,28.000,65490,,65556,0,65508,2402,5094,6044,7918,10088,3455,7490,8019,9062,9705
warmup,29.000,63746,,63666,0,63669,2276,5219,5934,7171,9222,2961,7553,8341,9724,10953
warmup,30.000,63287,,63287,0,63350,2508,5555,6424,8186,9241,3551,7709,8565,9738,10855
warmup,31.000,63957,,63957,0,64055,2605,5207,6095,7528,8413,3785,7660,8391,9378,10251
warmup,32.000,65626,,65626,0,65620,455,4973,5647,6514,7172,160,7274,7964,9096,9833
warmup,33.000,64565,,64574,0,64530,2678,5431,6218,7796,9160,3485,7488,8299,9566,10223
warmup,34.000,62823,,62814,0,62834,2162,5164,5948,7353,8098,3859,7686,8614,9650,10641
warmup,35.000,63305,,63305,0,63385,2097,5223,6039,7247,8800,2666,7626,8272,9385,10326
warmup,36.000,64157,,64184,0,64102,2569,5830,6527,8028,9650,3053,7522,8201,9168,9998
warmup,37.000,62731,,62704,0,62732,2572,5459,6236,7902,12978,3540,7648,8466,9828,12217
warmup,38.000,62126,,62130,0,62124,2424,5346,6238,7877,9300,3419,7821,8551,9579,10432
warmup,39.000,62040,,62040,0,62037,2993,5351,6280,7570,9097,3596,7876,8681,9749,10682
warmup,40.000,63822,,63818,0,63621,2276,5242,6198,7829,9874,3139,7629,8439,9580,10397
warmup,41.000,63752,,63752,0,64000,2856,5104,5754,6709,8242,2908,7586,8373,9613,10734
warmup,42.000,63094,,63099,0,62923,3145,5264,5949,7235,8073,3504,7714,8500,9592,10316
warmup,43.000,63046,,63127,0,63044,2104,5477,6332,7701,8863,3869,7723,8471,9537,10880
warmup,44.000,62133,,62047,0,62310,2605,5259,5900,7527,9340,3506,7931,8864,9732,10253
warmup,45.000,62925,,62952,0,62901,1774,5333,6055,7941,8631,4344,7712,8457,9396,10141
warmup,46.000,64150,,64124,0,64132,2187,5402,6163,7565,8852,4160,7595,8330,9502,10424
warmup,47.000,64267,,64271,0,64201,2650,5334,6031,7329,8046,2019,7613,8350,9363,9782
warmup,48.000,63135,,63130,0,63181,2946,5355,5930,7075,7977,4059,7724,8446,9477,10003
warmup,49.000,64401,,64401,0,64416,2916,5348,6141,7735,8976,3480,7401,8222,9385,10224
warmup,50.000,64934,,64934,0,64770,2601,5560,6486,8137,9745,2644,7531,8204,9332,10068
warmup,51.001,65079,,65079,0,65115,2655,5151,5828,6952,7777,2173,7442,8165,9282,10378
warmup,52.000,62915,,62915,0,63049,2342,5385,6277,7686,9244,2852,7512,8309,9605,11177
warmup,53.000,64466,,64481,0,64467,2295,5138,5913,6863,7516,4050,7508,8188,9298,10074
warmup,54.000,64113,,64126,0,63916,3071,5512,6394,8040,9440,3494,7554,8396,9588,10258
