Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分50秒   999    136598    8.00    4.00    0.00    0.00   12.00     2    132.00      0.00 2669880  120868   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分51秒   999    136598   57.00   15.00    0.00    0.00   72.00     2    178.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分52秒   999    136598   46.00   10.00    0.00    0.00   56.00     2      1.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分53秒   999    136598   48.00    7.00    0.00    0.00   55.00     2      0.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分54秒   999    136598   46.00   10.00    0.00    0.00   56.00     2     14.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分55秒   999    136598   44.00   11.00    0.00    0.00   55.00     2     22.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分56秒   999    136598   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分57秒   999    136598   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分58秒   999    136598   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时38分59秒   999    136598   37.00   18.00    0.00    0.00   55.00     2     11.00      0.00 2669880  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分00秒   999    136598   45.00   10.00    0.00    0.00   55.00     2     46.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分01秒   999    136598   40.00   16.00    0.00    0.00   56.00     2     11.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分02秒   999    136598   41.00   13.00    0.00    0.00   54.00     2     16.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分03秒   999    136598   42.00   13.00    0.00    0.00   55.00     2     16.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分04秒   999    136598   43.00   13.00    0.00    0.00   56.00     2     36.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分05秒   999    136598   39.00   16.00    0.00    0.00   55.00     2      0.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时39分06秒   999    136598   42.00   14.00    0.00    0.00   56.00     2      0.00      0.00 2670392  121508   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
