Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分46秒   999    140192   55.00   14.00    0.00    0.00   69.00     0    222.00      0.00 2670244  118996   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分47秒   999    140192  181.00   29.00    0.00    0.00  210.00     0  49900.00      0.00 2712248  155472   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分48秒   999    140192  175.00   37.00    0.00    0.00  212.00     0  87453.00      0.00 2721492  154620   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分49秒   999    140192  164.00   48.00    0.00    0.00  212.00     0  92160.00      0.00 2722776  159560   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分50秒   999    140192  167.00   47.00    0.00    0.00  214.00     0  88571.00      0.00 2725656  161872   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分51秒   999    140192  175.00   40.00    0.00    0.00  215.00     0  90339.00      0.00 2719212  154796   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分52秒   999    140192  170.00   42.00    0.00    0.00  212.00     0  97213.00      0.00 2721780  159424   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分53秒   999    140192  177.00   40.00    0.00    0.00  217.00     0  91853.00      0.00 2721648  156440   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分54秒   999    140192  171.00   44.00    0.00    0.00  215.00     0 101961.00      0.00 2719992  159304   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分55秒   999    140192  176.00   37.00    0.00    0.00  213.00     0  97960.00      0.00 2721220  156712   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分56秒   999    140192  174.00   36.00    0.00    0.00  210.00     0  84766.00      0.00 2719924  157528   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分57秒   999    140192  175.00   37.00    0.00    0.00  212.00     0  89122.00      0.00 2720032  158280   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分58秒   999    140192  173.00   38.00    0.00    0.00  211.00     0  85534.00      0.00 2725152  159260   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时49分59秒   999    140192  170.00   44.00    0.00    0.00  214.00     0  85941.00      0.00 2727752  157928   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分00秒   999    140192  169.00   40.00    0.00    0.00  209.00     0  85226.00      0.00 2719852  155840   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分01秒   999    140192  168.00   41.00    0.00    0.00  209.00     0  85335.00      0.00 2717792  155344   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分02秒   999    140192  161.39   42.57    0.00    0.00  203.96     0  94967.33      0.00 2724432  158444   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分03秒   999    140192   89.00   20.00    0.00    0.00  109.00     0  51475.00      0.00 2720652  157488   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分04秒   999    140192    0.00    0.00    0.00    0.00    0.00     0      0.00      0.00 2718828  155688   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分05秒   999    140192  140.00   44.00    0.00    0.00  184.00     0  34696.00      0.00 2776496  216248   0.66  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分06秒   999    140192  177.00   41.00    0.00    0.00  218.00     0  23077.00      0.00 2770632  208848   0.64  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时50分07秒   999    140192  171.00   46.00    0.00    0.00  217.00     0  29060.00      0.00 2770392  208592   0.64  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
