id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,31715,,31693,0,31587,212,5079,11556,22537,24551,88,1271,3400,7892,11651
warmup,2.001,54372,,53895,0,54130,763,7160,12966,22037,25733,172,7188,8349,10560,12840
warmup,3.001,59642,,59647,0,59775,1787,5191,5793,7034,9027,271,7782,8860,10065,10901
warmup,4.001,61685,,61688,0,61327,3049,5138,6096,7966,8998,533,7968,8694,9588,10604
warmup,5.001,61059,,61049,0,61322,2626,5052,5780,7482,9965,1107,7870,8742,9814,10781
warmup,6.001,62239,,62403,0,62263,2881,4961,5586,6917,7841,1406,7704,8548,9653,10324
warmup,7.001,60031,,59883,0,60047,2399,5196,5992,7479,8290,1864,8172,9035,10071,11161
warmup,8.001,62306,,62290,0,62029,2423,5077,5682,6892,8529,1446,7785,8593,9686,10400
warmup,9.001,63359,,63359,0,63553,2149,4919,5517,7144,9183,1830,7612,8443,9494,10220
warmup,10.001,64348,,64413,0,64383,2722,5108,5804,6767,7649,2204,7425,8261,9443,10390
warmup,11.001,63485,,63420,0,63469,2818,5194,5984,7975,11323,2570,7426,8261,9512,10263
warmup,12.001,62742,,62749,0,62781,2347,5022,5734,6728,8434,3796,7622,8408,9735,11419
warmup,13.001,61524,,61523,0,61525,1771,5243,5893,7341,10702,3662,7932,8665,9617,10184
warmup,14.001,62430,,62466,0,62470,2910,5097,5715,6964,7959,2883,7800,8534,9520,10176
warmup,15.001,62865,,62823,0,62639,2300,4904,5553,6576,7127,3400,7728,8459,9499,10276
warmup,16.001,63503,,63503,0,63602,2103,4994,5713,7055,7662,2590,7698,8370,9413,10141
warmup,17.001,63989,,64010,0,64148,2382,4821,5422,6613,7647,3822,7557,8491,9553,10232
warmup,18.001,63684,,63665,0,63676,2852,4839,5377,6295,7263,4769,7589,8398,9431,10237
warmup,19.001,62157,,62156,0,62049,2589,5152,5845,7218,8310,2521,7557,8405,9724,10746
warmup,20.001,63383,,63384,0,63321,2103,5320,6184,7860,8909,3620,7589,8435,9634,10319
warmup,21.001,63364,,63439,0,63571,2255,5301,6037,7279,8129,3587,7487,8366,9655,10236
warmup,22.001,63592,,63519,0,63580,2154,5065,5841,7004,8138,2936,7553,8238,9487,10066
warmup,23.001,64801,,64798,0,64767,2693,4848,5500,6800,7517,3183,7434,8183,9161,9933
warmup,24.001,65602,,65602,0,65617,2630,5000,5800,7064,8116,4218,7430,8141,9079,9844
warmup,25.001,66580,,66580,0,66558,2503,4691,5363,6298,6922,3144,7272,7935,8882,9611
warmup,26.001,66608,,66626,0,66603,2487,4533,5371,6540,7236,4193,7361,7970,8731,9212
warmup,27.001,67892,,67874,0,67899,2522,4692,5243,6178,6790,1980,7136,7731,8705,9192
warmup,28.001,67075,,67089,0,66963,2164,4666,5228,6139,6728,3098,7223,7860,8792,9529
warmup,29.001,66301,,66291,0,66300,2149,4570,5086,5862,6280,3778,7273,7971,9084,9959
warmup,30.001,65132,,65135,0,65135,2642,4609,5154,6092,6737,2003,7376,8125,9116,9691
warmup,31.001,64447,,64440,0,64564,2913,4746,5318,6428,6877,3170,7473,8301,9337,10090
warmup,32.001,65913,,65913,0,65808,359,4569,5218,6390,7115,155,7218,7925,8954,9785
warmup,33.001,65690,,65690,0,65761,2241,4781,5379,6802,7929,2988,7325,8073,9109,9801
warmup,34.001,62003,,62003,0,62034,1946,5124,5949,7187,8689,2738,7664,8400,9407,27622
warmup,35.001,64176,,64176,0,64100,2927,4988,5634,6857,7881,3454,7642,8386,9335,9745
warmup,36.001,63750,,63751,0,63731,1369,5053,5826,7195,8183,3218,7599,8302,9428,10353
warmup,37.001,66034,,66060,0,66079,1619,4650,5157,6127,7195,3454,7345,8017,9102,9612
warmup,38.001,64760,,64810,0,64651,1590,4879,5537,6963,7941,580,7538,8273,9320,10159
