4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         8545.95          ---          ---         0.71559         0.73500         0.84700         1.46300         1.53500      8895.14 
Gets        85457.76     85457.76         0.00         0.70461         0.72700         0.80700         1.45500         1.53500     88532.33 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      94003.71     85457.76         0.00         0.70561         0.72700         0.80700         1.45500         1.53500     97427.47 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.351        5.000
SET       0.583       10.000
SET       0.679       15.000
SET       0.695       20.000
SET       0.703       25.000
SET       0.711       30.000
SET       0.719       35.000
SET       0.727       40.000
SET       0.735       45.000
SET       0.735       50.000
SET       0.743       52.500
SET       0.743       55.000
SET       0.743       57.500
SET       0.751       60.000
SET       0.751       62.500
SET       0.751       65.000
SET       0.751       67.500
SET       0.759       70.000
SET       0.759       72.500
SET       0.759       75.000
SET       0.759       76.250
SET       0.759       77.500
SET       0.767       78.750
SET       0.767       80.000
SET       0.767       81.250
SET       0.767       82.500
SET       0.767       83.750
SET       0.767       85.000
SET       0.775       86.250
SET       0.775       87.500
SET       0.775       88.125
SET       0.775       88.750
SET       0.775       89.375
SET       0.783       90.000
SET       0.783       90.625
SET       0.783       91.250
SET       0.783       91.875
SET       0.791       92.500
SET       0.799       93.125
SET       0.807       93.750
SET       0.815       94.062
SET       0.823       94.375
SET       0.839       94.688
SET       0.847       95.000
SET       0.871       95.312
SET       0.887       95.625
SET       0.911       95.938
SET       0.943       96.250
SET       0.967       96.562
SET       0.991       96.875
SET       0.999       97.031
SET       1.015       97.188
SET       1.031       97.344
SET       1.055       97.500
SET       1.143       97.656
SET       1.279       97.812
SET       1.351       97.969
SET       1.375       98.125
SET       1.399       98.281
SET       1.415       98.438
SET       1.423       98.516
SET       1.431       98.594
SET       1.439       98.672
SET       1.447       98.750
SET       1.455       98.828
SET       1.455       98.906
SET       1.463       98.984
SET       1.471       99.062
SET       1.471       99.141
SET       1.479       99.219
SET       1.479       99.258
SET       1.487       99.297
SET       1.487       99.336
SET       1.487       99.375
SET       1.495       99.414
SET       1.495       99.453
SET       1.495       99.492
SET       1.495       99.531
SET       1.503       99.570
SET       1.503       99.609
SET       1.503       99.629
SET       1.503       99.648
SET       1.511       99.668
SET       1.511       99.688
SET       1.511       99.707
SET       1.511       99.727
SET       1.511       99.746
SET       1.519       99.766
SET       1.519       99.785
SET       1.519       99.805
SET       1.519       99.814
SET       1.519       99.824
SET       1.527       99.834
SET       1.527       99.844
SET       1.527       99.854
SET       1.527       99.863
SET       1.527       99.873
SET       1.535       99.883
SET       1.535       99.893
SET       1.535       99.902
SET       1.543       99.907
SET       1.543       99.912
SET       1.543       99.917
SET       1.543       99.922
SET       1.543       99.927
SET       1.551       99.932
SET       1.551       99.937
SET       1.559       99.941
SET       1.559       99.946
SET       1.567       99.951
SET       1.567       99.954
SET       1.567       99.956
SET       1.567       99.958
SET       1.575       99.961
SET       1.575       99.963
SET       1.583       99.966
SET       1.583       99.968
SET       1.591       99.971
SET       1.591       99.973
SET       1.599       99.976
SET       1.599       99.977
SET       1.599       99.978
SET       1.607       99.979
SET       1.607       99.980
SET       1.615       99.982
SET       1.615       99.983
SET       1.623       99.984
SET       1.623       99.985
SET       1.623       99.987
SET       1.631       99.988
SET       1.631       99.988
SET       1.639       99.989
SET       1.639       99.990
SET       1.639       99.990
SET       1.647       99.991
SET       1.647       99.991
SET       1.655       99.992
SET       1.655       99.993
SET       1.663       99.993
SET       1.679       99.994
SET       1.687       99.994
SET       1.703       99.995
SET       1.711       99.995
SET       1.743       99.995
SET       1.759       99.995
SET       1.775       99.996
SET       1.799       99.996
SET       1.831       99.996
SET       1.871       99.997
SET       1.919       99.997
SET       2.015       99.997
SET       2.031       99.997
SET       2.047       99.997
SET       2.079       99.998
SET       2.111       99.998
SET       2.143       99.998
SET       2.175       99.998
SET       2.191       99.998
SET       2.207       99.998
SET       2.223       99.998
SET       2.255       99.999
SET       2.255       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.271       99.999
SET       2.287       99.999
SET       2.287       99.999
SET       2.287       99.999
SET       2.287       99.999
SET       2.287       99.999
SET       2.287       99.999
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.287      100.000
SET       2.335      100.000
SET       2.335      100.000
SET       2.399      100.000
SET       2.399      100.000
SET       2.559      100.000
SET       2.559      100.000
SET       2.559      100.000
SET       2.559      100.000
SET       3.647      100.000
SET       3.647      100.000
SET       3.647      100.000
SET       3.647      100.000
SET       4.127      100.000
SET       4.127      100.000
---
GET       0.023        0.000
GET       0.343        5.000
