4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46925.99          ---          ---         0.85012         0.86300         1.00700         1.74300         2.04700     97745.34 
Gets        46925.80     35086.20     11839.60         0.84567         0.86300         0.99900         1.73500         2.03900     59021.74 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93851.79     35086.20     11839.60         0.84790         0.86300         1.00700         1.74300         2.04700    156767.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.479        5.000
SET       0.727       10.000
SET       0.791       15.000
SET       0.807       20.000
SET       0.823       25.000
SET       0.831       30.000
SET       0.839       35.000
SET       0.847       40.000
SET       0.855       45.000
SET       0.863       50.000
SET       0.863       52.500
SET       0.871       55.000
SET       0.871       57.500
SET       0.879       60.000
SET       0.879       62.500
SET       0.887       65.000
SET       0.887       67.500
SET       0.895       70.000
SET       0.895       72.500
SET       0.903       75.000
SET       0.903       76.250
SET       0.903       77.500
SET       0.911       78.750
SET       0.911       80.000
SET       0.919       81.250
SET       0.919       82.500
SET       0.919       83.750
SET       0.927       85.000
SET       0.935       86.250
SET       0.935       87.500
SET       0.935       88.125
SET       0.943       88.750
SET       0.943       89.375
SET       0.951       90.000
SET       0.951       90.625
SET       0.959       91.250
SET       0.959       91.875
SET       0.967       92.500
SET       0.975       93.125
SET       0.983       93.750
SET       0.983       94.062
SET       0.991       94.375
SET       0.999       94.688
SET       1.007       95.000
SET       1.023       95.312
SET       1.055       95.625
SET       1.103       95.938
SET       1.159       96.250
SET       1.207       96.562
SET       1.255       96.875
SET       1.279       97.031
SET       1.311       97.188
SET       1.351       97.344
SET       1.415       97.500
SET       1.551       97.656
SET       1.607       97.812
SET       1.631       97.969
SET       1.655       98.125
SET       1.671       98.281
SET       1.687       98.438
SET       1.695       98.516
SET       1.703       98.594
SET       1.711       98.672
SET       1.719       98.750
SET       1.727       98.828
SET       1.735       98.906
SET       1.743       98.984
SET       1.751       99.062
SET       1.759       99.141
SET       1.767       99.219
SET       1.775       99.258
SET       1.783       99.297
SET       1.783       99.336
SET       1.791       99.375
SET       1.799       99.414
SET       1.807       99.453
SET       1.815       99.492
SET       1.823       99.531
SET       1.831       99.570
SET       1.839       99.609
SET       1.839       99.629
SET       1.847       99.648
SET       1.855       99.668
SET       1.855       99.688
SET       1.863       99.707
SET       1.871       99.727
SET       1.879       99.746
SET       1.887       99.766
SET       1.903       99.785
SET       1.911       99.805
SET       1.927       99.814
SET       1.935       99.824
SET       1.951       99.834
SET       1.975       99.844
SET       1.999       99.854
SET       2.015       99.863
SET       2.023       99.873
SET       2.031       99.883
SET       2.039       99.893
SET       2.047       99.902
SET       2.063       99.907
SET       2.063       99.912
SET       2.063       99.917
SET       2.063       99.922
SET       2.079       99.927
SET       2.079       99.932
SET       2.079       99.937
SET       2.079       99.941
SET       2.095       99.946
SET       2.095       99.951
SET       2.111       99.954
SET       2.111       99.956
SET       2.111       99.958
SET       2.111       99.961
SET       2.127       99.963
SET       2.127       99.966
SET       2.127       99.968
SET       2.143       99.971
SET       2.143       99.973
SET       2.159       99.976
SET       2.159       99.977
SET       2.159       99.978
SET       2.175       99.979
SET       2.191       99.980
SET       2.223       99.982
SET       2.271       99.983
SET       2.367       99.984
SET       2.431       99.985
SET       2.463       99.987
SET       2.511       99.988
SET       2.543       99.988
SET       2.607       99.989
SET       2.735       99.990
SET       2.815       99.990
SET       2.863       99.991
SET       2.879       99.991
SET       2.895       99.992
SET       2.911       99.993
SET       2.927       99.993
SET       2.943       99.994
SET       2.959       99.994
SET       2.959       99.995
SET       2.975       99.995
SET       2.975       99.995
SET       2.991       99.995
SET       2.991       99.996
SET       3.007       99.996
SET       3.007       99.996
SET       3.023       99.997
SET       3.055       99.997
SET       3.055       99.997
SET       3.071       99.997
SET       3.087       99.997
SET       3.087       99.998
SET       3.103       99.998
SET       3.823       99.998
SET       3.823       99.998
SET       4.927       99.998
SET       4.927       99.998
SET       4.927       99.998
SET       4.927       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.119       99.999
SET       5.119       99.999
SET       5.151       99.999
SET       5.151       99.999
SET       5.151       99.999
SET       5.183       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631      100.000
SET      13.631      100.000
SET      13.631      100.000
SET      13.695      100.000
SET      14.527      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      52.223      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
SET      53.759      100.000
