id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,35514,,35014,0,34900,419,13832,21782,24831,46752,89,2076,4593,8371,10332
warmup,2.000,60729,,60748,0,60845,375,6271,8171,14569,20290,222,6968,7974,9219,10912
warmup,3.000,63285,,63267,0,63412,2180,5858,6803,8344,9609,480,7592,8318,9585,10490
warmup,4.000,63631,,63635,0,63626,1826,5619,6580,7892,10688,664,7571,8268,9475,10327
warmup,5.000,61038,,61042,0,60758,2603,5909,6941,8965,11074,3567,7765,8643,9821,12260
warmup,6.000,62548,,62544,0,62772,2696,6198,7565,11149,16982,4416,7584,8469,9852,13006
warmup,7.000,64135,,64143,0,64315,3130,6163,7205,8900,10103,299,7483,8285,9409,10142
warmup,8.000,63404,,63391,0,63324,3410,5785,6776,8612,9895,4214,7644,8482,9570,10456
warmup,9.000,63053,,63053,0,62997,2000,6008,7050,9374,10139,1237,7726,8494,9679,10600
warmup,10.000,63311,,63312,0,63230,2688,6756,8263,10463,11525,3041,7694,8570,9648,10401
warmup,11.000,64013,,64027,0,64173,2832,5520,6391,7914,11108,482,7582,8339,9223,9760
warmup,12.000,62407,,62392,0,62386,3126,5713,6638,8503,9370,3740,7882,8626,9632,10247
warmup,13.000,63493,,63493,0,63432,2364,5736,6716,8764,10572,2469,7646,8352,9613,10378
warmup,14.000,62303,,62303,0,62333,2667,5803,7305,9544,10380,2542,7792,8696,9792,10530
warmup,15.000,64439,,64449,0,64383,2719,6127,7144,8640,9992,2428,7541,8351,9398,10396
warmup,16.000,62552,,62550,0,62681,2880,6091,7220,9285,10638,2505,7726,8648,9644,10362
warmup,17.000,64098,,64190,0,64031,2509,5557,6579,8174,9162,2794,7579,8200,9280,9961
warmup,18.000,63869,,63794,0,63661,2313,6462,7557,9143,10328,3381,7670,8422,9568,10272
warmup,19.000,63156,,63131,0,63173,2808,6584,8039,10014,11207,3907,7695,8536,9603,10873
