Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分50秒   999    103734   20.00    4.00    0.00    0.00   24.00     0    809.00      0.00 2670424  121992   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分51秒   999    103734  280.00   89.00    0.00    0.00  369.00     0  62847.00      0.00 2726336  163048   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分52秒   999    103734  283.00   96.00    0.00    0.00  379.00     0  23075.00      0.00 2721360  157672   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分53秒   999    103734  272.00  105.00    0.00    0.00  377.00     0   7358.00      0.00 2717124  158656   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分54秒   999    103734  273.00  104.00    0.00    0.00  377.00     0   8489.00      0.00 2716388  158232   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分55秒   999    103734  269.00  107.00    0.00    0.00  376.00     0   5591.00      0.00 2714800  157648   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分56秒   999    103734  282.00   95.00    0.00    0.00  377.00     0   3999.00      0.00 2713040  155384   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分57秒   999    103734  272.00  103.00    0.00    0.00  375.00     0   4036.00      0.00 2713968  157192   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分58秒   999    103734  274.00  103.00    0.00    0.00  377.00     0   2889.00      0.00 2713424  157212   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时38分59秒   999    103734  268.00  107.00    0.00    0.00  375.00     0   2716.00      0.00 2713424  156680   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分00秒   999    103734  277.00  101.00    0.00    0.00  378.00     0   4099.00      0.00 2713696  157500   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分01秒   999    103734  268.00  109.00    0.00    0.00  377.00     0   2480.00      0.00 2714208  157140   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分02秒   999    103734  276.00  101.00    0.00    0.00  377.00     0   2210.00      0.00 2713696  157780   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分03秒   999    103734  270.00  105.00    0.00    0.00  375.00     0   3174.00      0.00 2715840  158396   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分04秒   999    103734  269.00  108.00    0.00    0.00  377.00     0   1611.00      0.00 2715360  158276   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分05秒   999    103734  268.00  110.00    0.00    0.00  378.00     0   2418.00      0.00 2715688  158680   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时39分06秒   999    103734  277.00   99.00    0.00    0.00  376.00     0   2645.00      0.00 2715176  158552   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
