4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         8545.95          ---          ---         0.70516         0.72700         0.82300         1.44700         1.51100      8895.14 
Gets        85457.33     85457.33         0.00         0.69335         0.71900         0.78300         1.43900         1.50300     88531.89 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      94003.28     85457.33         0.00         0.69442         0.71900         0.78300         1.43900         1.50300     97427.03 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.351        5.000
SET       0.575       10.000
SET       0.671       15.000
SET       0.687       20.000
SET       0.695       25.000
SET       0.703       30.000
SET       0.711       35.000
SET       0.719       40.000
SET       0.727       45.000
SET       0.727       50.000
SET       0.727       52.500
SET       0.735       55.000
SET       0.735       57.500
SET       0.735       60.000
SET       0.743       62.500
SET       0.743       65.000
SET       0.743       67.500
SET       0.743       70.000
SET       0.751       72.500
SET       0.751       75.000
SET       0.751       76.250
SET       0.751       77.500
SET       0.751       78.750
SET       0.751       80.000
SET       0.751       81.250
SET       0.759       82.500
SET       0.759       83.750
SET       0.759       85.000
SET       0.759       86.250
SET       0.759       87.500
SET       0.759       88.125
SET       0.767       88.750
SET       0.767       89.375
SET       0.767       90.000
SET       0.767       90.625
SET       0.767       91.250
SET       0.775       91.875
SET       0.775       92.500
SET       0.775       93.125
SET       0.783       93.750
SET       0.791       94.062
SET       0.799       94.375
SET       0.807       94.688
SET       0.823       95.000
SET       0.839       95.312
SET       0.855       95.625
SET       0.879       95.938
SET       0.911       96.250
SET       0.943       96.562
SET       0.967       96.875
SET       0.983       97.031
SET       0.999       97.188
SET       1.015       97.344
SET       1.039       97.500
SET       1.151       97.656
SET       1.287       97.812
SET       1.343       97.969
SET       1.367       98.125
SET       1.383       98.281
SET       1.399       98.438
SET       1.407       98.516
SET       1.415       98.594
SET       1.423       98.672
SET       1.431       98.750
SET       1.431       98.828
SET       1.439       98.906
SET       1.447       98.984
SET       1.447       99.062
SET       1.455       99.141
SET       1.463       99.219
SET       1.463       99.258
SET       1.463       99.297
SET       1.463       99.336
SET       1.471       99.375
SET       1.471       99.414
SET       1.471       99.453
SET       1.471       99.492
SET       1.479       99.531
SET       1.479       99.570
SET       1.479       99.609
SET       1.479       99.629
SET       1.479       99.648
SET       1.487       99.668
SET       1.487       99.688
SET       1.487       99.707
SET       1.487       99.727
SET       1.487       99.746
SET       1.495       99.766
SET       1.495       99.785
SET       1.495       99.805
SET       1.495       99.814
SET       1.495       99.824
SET       1.495       99.834
SET       1.503       99.844
SET       1.503       99.854
SET       1.503       99.863
SET       1.503       99.873
SET       1.503       99.883
SET       1.511       99.893
SET       1.511       99.902
SET       1.511       99.907
SET       1.511       99.912
SET       1.511       99.917
SET       1.519       99.922
SET       1.519       99.927
SET       1.519       99.932
SET       1.519       99.937
SET       1.527       99.941
SET       1.527       99.946
SET       1.535       99.951
SET       1.535       99.954
SET       1.535       99.956
SET       1.535       99.958
SET       1.543       99.961
SET       1.543       99.963
SET       1.543       99.966
SET       1.551       99.968
SET       1.551       99.971
SET       1.559       99.973
SET       1.567       99.976
SET       1.567       99.977
SET       1.567       99.978
SET       1.575       99.979
SET       1.575       99.980
SET       1.575       99.982
SET       1.583       99.983
SET       1.583       99.984
SET       1.591       99.985
SET       1.591       99.987
SET       1.591       99.988
SET       1.599       99.988
SET       1.599       99.989
SET       1.599       99.990
SET       1.599       99.990
SET       1.607       99.991
SET       1.607       99.991
SET       1.607       99.992
SET       1.615       99.993
SET       1.615       99.993
SET       1.615       99.994
SET       1.623       99.994
SET       1.623       99.995
SET       1.623       99.995
SET       1.631       99.995
SET       1.631       99.995
SET       1.639       99.996
SET       1.639       99.996
SET       1.647       99.996
SET       1.655       99.997
SET       1.663       99.997
SET       1.671       99.997
SET       1.679       99.997
SET       1.687       99.997
SET       1.695       99.998
SET       1.727       99.998
SET       1.751       99.998
SET       1.759       99.998
SET       1.775       99.998
SET       1.807       99.998
SET       1.855       99.998
SET       1.887       99.999
SET       1.911       99.999
SET       1.983       99.999
SET       2.007       99.999
SET       2.031       99.999
SET       2.063       99.999
SET       2.079       99.999
SET       2.095       99.999
SET       2.111       99.999
SET       2.127       99.999
SET       2.159       99.999
SET       2.159       99.999
SET       2.175       99.999
SET       2.191       99.999
SET       2.191       99.999
SET       2.191       99.999
SET       2.207      100.000
SET       2.207      100.000
SET       2.223      100.000
SET       2.239      100.000
SET       2.239      100.000
SET       2.239      100.000
SET       2.239      100.000
SET       2.255      100.000
SET       2.255      100.000
SET       2.255      100.000
SET       2.255      100.000
SET       2.255      100.000
SET       2.255      100.000
SET       2.271      100.000
SET       2.271      100.000
SET       2.271      100.000
SET       2.271      100.000
SET       2.303      100.000
SET       2.303      100.000
SET       2.303      100.000
SET       2.303      100.000
SET       2.319      100.000
SET       2.319      100.000
SET       2.319      100.000
SET       2.319      100.000
