id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.001,41466,,,,40715,3854,36815,50859,61932,68762,,,,,
q1-one-fast,2.001,62199,,,,62187,4999,11297,14041,21642,26918,,,,,
q1-one-fast,3.000,62492,,,,62542,4744,11535,14153,19728,23440,,,,,
q1-one-fast,4.000,64478,,,,64359,5037,11325,13081,16095,18751,,,,,
q1-one-fast,5.000,62156,,,,62229,4474,11724,14142,17778,21345,,,,,
q1-one-fast,6.000,62198,,,,62280,4367,11765,15203,26770,33850,,,,,
q1-one-fast,7.000,63552,,,,63473,4966,11260,13581,17441,21145,,,,,
q1-one-fast,8.000,63248,,,,63244,4715,11042,13339,17331,19798,,,,,
q1-one-fast,9.000,63964,,,,63616,4314,11325,13272,16797,18755,,,,,
q1-one-fast,10.000,65866,,,,66194,4941,10476,12658,16288,18790,,,,,
q1-one-fast,11.000,64351,,,,64277,4516,11434,13350,16844,20373,,,,,
q1-one-fast,12.000,64010,,,,64296,4229,11215,13483,17510,20103,,,,,
q1-one-fast,13.001,63199,,,,63235,4502,12042,14162,17567,20990,,,,,
q1-one-fast,14.000,61523,,,,61080,5034,12919,14845,17926,20014,,,,,
q1-one-fast,15.000,65737,,,,66197,4684,10452,12074,15270,17405,,,,,
q1-one-fast,16.000,63331,,,,63107,4186,11160,13240,17410,20446,,,,,
q1-one-fast,17.000,63005,,,,62945,5036,11987,14148,17620,20404,,,,,
q1-one-fast,18.000,64104,,,,64277,5450,11450,13709,17104,19716,,,,,
q1-one-fast,19.001,65360,,,,65299,4506,11060,12946,15875,17570,,,,,
q1-one-fast,20.001,65406,,,,65461,4593,10886,12536,16267,19204,,,,,
q1-one-fast,21.000,64755,,,,64855,3381,10949,13540,19349,22495,,,,,
q1-one-fast,22.000,64678,,,,64717,4311,10526,12659,16801,35718,,,,,
q1-one-fast,23.000,64787,,,,64513,4358,11357,13474,16185,17558,,,,,
q1-one-fast,24.000,65357,,,,65119,4320,11105,13026,16091,17836,,,,,
q1-one-fast,25.000,63139,,,,63312,4766,11632,13901,17247,19861,,,,,
q1-one-fast,26.000,65869,,,,65821,3979,10761,13075,16195,18306,,,,,
q1-one-fast,27.000,64400,,,,64956,4848,10834,12893,17169,19817,,,,,
q1-one-fast,28.000,65261,,,,64988,4795,10545,12405,15713,18348,,,,,
q1-one-fast,29.000,62405,,,,62383,4537,12064,14128,16902,18529,,,,,
q1-one-fast,30.000,66031,,,,65674,5193,10778,12575,15680,17792,,,,,
q1-one-fast,31.000,64391,,,,64707,4317,11210,13004,16010,18182,,,,,
q1-one-fast,32.000,62540,,,,62428,4962,11701,13899,18042,20265,,,,,
q1-one-fast,33.000,64967,,,,65060,4314,10861,12585,15146,18486,,,,,
q1-one-fast,34.000,64855,,,,64804,4438,11012,12923,15707,18937,,,,,
q1-one-fast,35.000,64407,,,,64346,4574,11091,13166,17353,19623,,,,,
q1-one-fast,36.000,63767,,,,63368,3989,11689,14078,17427,19210,,,,,
q1-one-fast,37.000,63157,,,,63512,4840,11022,13198,16378,20109,,,,,
q1-one-fast,38.000,63405,,,,63562,3880,11272,13217,16371,37345,,,,,
q1-one-fast,39.001,64472,,,,64488,5385,11098,12913,15737,18839,,,,,
q1-one-fast,40.000,63991,,,,64044,4696,11817,13748,16118,17508,,,,,
q1-one-fast,41.000,66737,,,,66546,4629,10395,12584,16340,18313,,,,,
q1-one-fast,42.000,64428,,,,64680,4217,11372,13348,16417,18599,,,,,
q1-one-fast,43.000,66378,,,,66387,4324,10948,12882,15714,18130,,,,,
q1-one-fast,44.000,64792,,,,64885,4417,11136,13441,17399,19144,,,,,
q1-one-fast,45.000,63981,,,,63634,4785,11673,13418,16705,18414,,,,,
q1-one-fast,46.000,64401,,,,64516,4576,11409,13156,15614,16672,,,,,
q1-one-fast,47.000,61687,,,,61616,5761,12224,13962,18253,21150,,,,,
q1-one-fast,48.000,66151,,,,66378,3886,10581,12547,15997,17509,,,,,
q1-one-fast,49.000,64104,,,,63977,4732,11624,14084,17233,18626,,,,,
q1-one-fast,50.000,64973,,,,64356,4236,10807,12886,15910,18017,,,,,
q1-one-fast,51.000,64054,,,,64318,5055,11327,13288,16911,20184,,,,,
q1-one-fast,52.000,62407,,,,62881,3829,11705,13775,17804,20002,,,,,
