id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.004,48350,,44897,0,37785,386,43512,92704,192542,283381,315,35806,61564,98503,110829
q2-reliable,2.000,49875,,49669,0,48342,13034,192227,307291,463549,543754,3961,65001,92600,146035,183791
q2-reliable,3.000,51928,,51827,0,48860,18916,258808,409954,509584,605506,9118,68362,94973,141499,174694
q2-reliable,4.000,55741,,55936,0,47721,3607,235190,545371,708159,765004,6535,63911,88260,143364,194505
q2-reliable,5.000,49127,,48701,0,53694,19690,409567,690916,793779,889177,3673,73736,100206,144708,181058
q2-reliable,6.000,55102,,55193,0,47812,35378,428540,639420,743354,763225,6715,66301,89978,136172,177895
q2-reliable,7.000,48327,,48236,0,56365,5612,387509,583631,811790,874172,4725,76606,101490,154687,197127
q2-reliable,8.000,54877,,55052,0,49462,5053,174026,525778,1024492,1149274,5681,60038,92713,140968,191280
q2-reliable,9.000,54827,,54726,0,47268,4123,249920,629936,1215018,1636048,6626,60248,83632,151010,244749
q2-reliable,10.000,51492,,51419,0,49882,48459,422351,659636,1813281,1882302,8892,68223,93471,144394,176034
q2-reliable,11.000,50713,,50813,0,51494,29420,410752,792994,1511181,1562811,4524,66522,92765,193645,233356
q2-reliable,12.000,48774,,48826,0,53471,62081,400251,719710,1526377,1565063,5546,68863,98540,155865,211205
q2-reliable,13.000,53695,,53543,0,48935,8817,316639,999249,1576147,1615842,5515,65542,91915,171118,220175
q2-reliable,14.000,54516,,54516,0,47286,13138,303973,876002,1734548,1788103,4161,59671,91982,144328,176164
q2-reliable,15.000,56380,,56380,0,45813,5607,786748,1668359,1796468,1898816,4452,61903,92258,148504,200030
q2-reliable,16.000,48051,,48450,0,52056,66192,721704,1585845,1955494,2014786,6013,68532,99681,163703,186904
q2-reliable,17.000,53445,,53161,0,48638,20692,746787,1516434,1894054,1945379,8357,61266,93826,145235,193022
q2-reliable,18.000,52295,,52886,0,48221,12803,842539,1589323,2018634,2096006,2012,66308,97506,147112,162478
q2-reliable,19.000,51172,,50466,0,52142,3740,925516,1748261,2083086,2211719,2813,62774,93492,169739,195734
q2-reliable,20.000,49759,,49774,0,50425,23141,978631,1811906,2246699,2305382,6505,64641,105336,163640,198430
q2-reliable,21.000,48620,,48706,0,50621,117760,809383,1675030,2374437,2418499,9609,73182,106255,164567,200981
q2-reliable,22.001,51848,,51954,0,49479,18035,793720,1748912,2363375,2409967,3394,61179,100345,158276,210443
q2-reliable,23.000,49508,,49307,0,52642,5116,1000167,1624404,2249659,2330981,4362,65239,101792,163459,190855
q2-reliable,24.000,52036,,52265,0,51791,3208,1106863,1309132,2331077,2451007,3406,65075,94326,155960,192353
q2-reliable,25.000,52683,,52448,0,49616,7260,1075581,1959306,2184331,2490329,5640,65224,85095,149079,180446
q2-reliable,26.000,56428,,56799,0,44776,4077,837455,1927758,2153968,2223571,5551,59762,79496,146945,199904
q2-reliable,27.000,54142,,53913,0,46863,19231,1186724,2010410,2108290,2159927,5224,65374,93043,142357,198758
q2-reliable,28.000,51867,,51725,0,49092,26475,1325896,2158948,2382641,2441136,7155,71876,101445,144944,186025
q2-reliable,29.000,55560,,55560,0,43530,90724,1350055,2306650,2691399,2739940,9342,58353,87119,133982,171078
q2-reliable,30.000,51293,,51400,0,48891,308568,1517749,2355155,2894904,2941939,5892,65466,106470,145714,174063
q2-reliable,31.000,50592,,50651,0,52495,512651,1476402,2588311,3173004,3234093,8297,58637,98426,173419,215592
q2-reliable,32.000,55136,,54985,0,45732,457894,1615487,2621804,3377239,3441939,4397,59785,90319,145868,172330
q2-reliable,33.000,47906,,47899,0,55147,313541,1674867,2715047,3409119,3466119,6480,72828,116774,174056,267820
q2-reliable,34.000,48774,,48765,0,51485,54517,1235707,2544157,3412151,3510715,7253,72189,101543,151500,199109
q2-reliable,35.000,50302,,50395,0,50632,42016,1124388,2739098,3160452,3248562,2215,68752,104551,171320,196825
q2-reliable,36.000,48934,,48841,0,51399,83963,1181196,2644162,3276463,3326837,2374,67630,104937,171324,198766
q2-reliable,37.000,53087,,53232,0,47721,87782,1156715,2526423,3334093,3369109,5676,64172,103359,144219,199217
q2-reliable,38.000,52889,,52803,0,48965,112831,2341363,2562248,3374685,3440465,4691,61282,96098,146587,182973
