id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate50,1.001,18617,,17940,0,18005,120,2460,6709,24909,31912,190,2465,6753,28831,41185
q3-rate50,2.001,29618,,30292,0,30226,125,416,3049,29510,42788,218,604,3316,31299,42444
q3-rate50,3.001,24014,,23998,0,24002,102,346,489,680,842,208,572,697,882,1030
q3-rate50,4.001,24016,,24027,0,24031,107,279,424,654,794,211,512,651,841,1332
q3-rate50,5.001,24033,,24017,0,24020,117,305,448,671,796,212,527,659,858,1011
q3-rate50,6.001,23998,,24011,0,24006,105,276,397,607,839,205,478,610,795,960
q3-rate50,7.001,24028,,24014,0,24015,109,310,456,671,801,202,531,663,862,1085
q3-rate50,8.001,24019,,24039,0,24037,111,315,456,685,932,207,529,656,863,1060
q3-rate50,9.001,24009,,24000,0,24000,105,377,568,789,932,203,639,759,932,1333
q3-rate50,10.001,24000,,23999,0,23999,110,323,475,686,1178,216,540,666,893,1550
q3-rate50,11.001,24004,,24004,0,24002,114,397,550,749,938,210,612,739,903,1072
q3-rate50,12.001,24024,,24017,0,24024,116,446,616,808,974,259,680,795,948,1143
q3-rate50,13.001,23989,,24013,0,24003,112,431,598,790,922,235,671,783,932,1070
q3-rate50,14.001,24029,,24027,0,24029,111,414,566,760,870,237,644,765,905,1047
q3-rate50,15.001,24013,,23991,0,23996,102,340,501,793,2340,181,550,685,993,2064
q3-rate50,16.001,24000,,24001,0,24008,112,362,515,745,883,219,586,715,905,1005
q3-rate50,17.001,24027,,24034,0,24021,114,397,562,774,951,255,630,747,931,1736
q3-rate50,18.001,24014,,24030,0,24029,119,382,552,757,843,201,638,737,904,1005
q3-rate50,19.001,24018,,23995,0,24001,102,378,545,745,1016,201,595,742,902,1068
q3-rate50,20.001,23984,,24007,0,24001,118,499,631,814,1138,214,706,802,946,1738
q3-rate50,21.001,24020,,23996,0,24007,115,445,601,777,890,214,662,773,919,1032
q3-rate50,22.001,24022,,24020,0,24020,114,364,524,749,933,211,612,739,907,1275
q3-rate50,23.001,24029,,24036,0,24034,110,480,629,789,900,227,702,810,939,1067
