Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分49秒   999    103325   22.00    8.00    0.00    0.00   30.00     0   1092.00      0.00 2674824  121652   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分50秒   999    103325  267.00   83.00    0.00    0.00  350.00     0  57771.00      0.00 2735396  169128   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分51秒   999    103325  275.00  104.00    0.00    0.00  379.00     0  62733.00      0.00 2735588  169664   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分52秒   999    103325  269.00  108.00    0.00    0.00  377.00     0   7405.00      0.00 2734120  169372   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分53秒   999    103325  274.00  104.00    0.00    0.00  378.00     0   5401.00      0.00 2734068  169680   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分54秒   999    103325  266.00  111.00    0.00    0.00  377.00     0   3490.00      0.00 2735524  170288   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分55秒   999    103325  288.00   92.00    0.00    0.00  380.00     0   2485.00      0.00 2735156  170100   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分56秒   999    103325  276.00  102.00    0.00    0.00  378.00     0   1597.00      0.00 2735076  169680   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分57秒   999    103325  269.00  108.00    0.00    0.00  377.00     0   1443.00      0.00 2733460  168220   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分58秒   999    103325  280.00   98.00    0.00    0.00  378.00     0   1734.00      0.00 2732948  168200   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时40分59秒   999    103325  275.00  103.00    0.00    0.00  378.00     0   1747.00      0.00 2730820  166864   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分00秒   999    103325  273.00  106.00    0.00    0.00  379.00     0   2494.00      0.00 2730020  165600   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分01秒   999    103325  263.00  115.00    0.00    0.00  378.00     0   1920.00      0.00 2730164  165796   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分02秒   999    103325  265.00  113.00    0.00    0.00  378.00     0   2051.00      0.00 2730532  166084   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分03秒   999    103325  274.00  106.00    0.00    0.00  380.00     0   1890.00      0.00 2728884  164232   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分04秒   999    103325  283.00   94.00    0.00    0.00  377.00     0   1633.00      0.00 2729844  165768   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时41分05秒   999    103325  269.00  104.00    0.00    0.00  373.00     0   2106.00      0.00 2729272  165484   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
