Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分01秒   999    105388   34.00   10.00    0.00    0.00   44.00     0   1482.00      0.00 2678220  123912   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分02秒   999    105388  267.00   92.00    0.00    0.00  359.00     0  70121.00      0.00 2719516  156356   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分03秒   999    105388  281.00   98.00    0.00    0.00  379.00     0  44874.00      0.00 2739384  169552   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分04秒   999    105388  273.00  104.00    0.00    0.00  377.00     0   6330.00      0.00 2738632  169780   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分05秒   999    105388  272.00  105.00    0.00    0.00  377.00     0   4655.00      0.00 2738872  171344   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分06秒   999    105388  267.00  112.00    0.00    0.00  379.00     0   3373.00      0.00 2738708  170808   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分07秒   999    105388  273.00  105.00    0.00    0.00  378.00     0   2320.00      0.00 2738996  171056   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分08秒   999    105388  274.00  104.00    0.00    0.00  378.00     0   2105.00      0.00 2734820  167996   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分09秒   999    105388  276.00  101.00    0.00    0.00  377.00     0   1492.00      0.00 2732480  167408   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分10秒   999    105388  269.00  107.00    0.00    0.00  376.00     0   1092.00      0.00 2730864  166992   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分11秒   999    105388  277.00  103.00    0.00    0.00  380.00     0   1199.00      0.00 2730620  166148   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分12秒   999    105388  271.00  106.00    0.00    0.00  377.00     0    901.00      0.00 2728572  166168   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分13秒   999    105388  273.00  104.00    0.00    0.00  377.00     0   1337.00      0.00 2728492  165876   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分14秒   999    105388  262.00  112.00    0.00    0.00  374.00     0   2014.00      0.00 2729436  165940   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分15秒   999    105388  267.00  112.00    0.00    0.00  379.00     0    949.00      0.00 2728332  165424   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分16秒   999    105388  271.00  107.00    0.00    0.00  378.00     0    960.00      0.00 2728764  164744   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05时49分17秒   999    105388  277.00  101.00    0.00    0.00  378.00     0    791.00      0.00 2726572  164968   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
