Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分49秒   999    119101   17.00    6.00    0.00    0.00   23.00     1     73.00      0.00 2673488  123332   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分50秒   999    119101   48.00   15.00    0.00    0.00   63.00     1     53.00      0.00 2672464  123460   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分51秒   999    119101   41.00   14.00    0.00    0.00   55.00     1      0.00      0.00 2671952  123460   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分52秒   999    119101   44.00   10.00    0.00    0.00   54.00     1      0.00      0.00 2671952  123460   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分53秒   999    119101   38.00   16.00    0.00    0.00   54.00     1     13.00      0.00 2672464  123460   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分54秒   999    119101   40.00   14.00    0.00    0.00   54.00     1     32.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分55秒   999    119101   39.00   15.00    0.00    0.00   54.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分56秒   999    119101   42.00   11.00    0.00    0.00   53.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分57秒   999    119101   42.00   12.00    0.00    0.00   54.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分58秒   999    119101   42.00   11.00    0.00    0.00   53.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时21分59秒   999    119101   40.00   14.00    0.00    0.00   54.00     1     16.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分00秒   999    119101   41.00   13.00    0.00    0.00   54.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分01秒   999    119101   34.00   19.00    0.00    0.00   53.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分02秒   999    119101   42.00   11.00    0.00    0.00   53.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分03秒   999    119101   45.00    9.00    0.00    0.00   54.00     1      0.00      0.00 2671696  123088   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分04秒   999    119101   42.00   12.00    0.00    0.00   54.00     1    367.00      0.00 2673308  123952   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时22分05秒   999    119101   41.00   15.00    0.00    0.00   56.00     1      0.00      0.00 2672796  123336   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
