id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,10017,,10014,0,0,0,0,0,0,0,207,455,649,1935,3039
q4-join-late,2.000,10013,,10016,0,0,0,0,0,0,0,214,536,573,638,708
q4-join-late,3.000,10017,,10008,0,0,0,0,0,0,0,422,544,570,606,636
q4-join-late,4.000,10016,,10013,0,0,0,0,0,0,0,304,538,564,602,693
q4-join-late,5.000,10011,,10023,0,0,0,0,0,0,0,234,541,568,607,640
q4-join-late,6.000,10009,,10009,0,0,0,0,0,0,0,419,542,568,603,627
q4-join-late,7.000,10009,,10009,0,0,0,0,0,0,0,250,535,561,601,649
q4-join-late,8.000,10009,,10009,0,0,0,0,0,0,0,191,530,558,598,727
q4-join-late,9.000,10014,,10003,0,0,0,0,0,0,0,428,539,566,603,618
q4-join-late,10.000,10009,,10020,0,0,0,0,0,0,0,217,530,556,593,620
q4-join-late,11.000,10018,,10006,0,0,0,0,0,0,0,191,521,549,590,626
q4-join-late,12.000,10001,,10003,0,0,0,0,0,0,0,197,532,558,600,800
q4-join-late,13.000,10005,,10003,0,0,0,0,0,0,0,246,534,558,591,615
q4-join-late,14.000,10007,,10019,0,0,0,0,0,0,0,389,533,556,592,619
q4-join-late,15.000,10020,,10008,0,0,0,0,0,0,0,219,531,555,589,607
q4-join-late,16.000,9998,,10010,0,0,0,0,0,0,0,433,538,561,597,624
q4-join-late,17.000,10012,,10012,0,0,0,0,0,0,0,432,536,560,596,621
q4-join-late,18.000,10018,,10007,0,0,0,0,0,0,0,429,535,560,591,616
q4-join-late,19.000,10014,,10013,0,0,0,0,0,0,0,404,534,557,588,611
q4-join-late,20.000,10002,,10005,0,0,0,0,0,0,0,316,535,560,590,610
q4-join-late,21.000,10014,,10012,0,0,0,0,0,0,0,430,535,558,593,612
q4-join-late,22.000,10003,,10003,0,0,0,0,0,0,0,422,536,559,593,612
q4-join-late,23.000,10006,,10017,0,0,0,0,0,0,0,423,534,558,590,620
q4-join-late,24.000,10014,,10014,0,0,0,0,0,0,0,430,533,557,591,617
q4-join-late,25.000,10011,,10000,0,0,0,0,0,0,0,225,536,559,596,624
q4-join-late,26.000,9997,,10008,0,0,0,0,0,0,0,434,535,559,590,623
q4-join-late,27.000,10017,,10005,0,0,0,0,0,0,0,437,535,559,593,633
q4-join-late,28.000,10002,,10005,0,0,0,0,0,0,0,435,534,561,594,646
q4-join-late,29.000,10006,,10005,0,0,0,0,0,0,0,439,535,559,595,616
q4-join-late,30.000,10009,,10009,0,0,0,0,0,0,0,216,540,564,598,631
q4-join-late,31.000,10004,,10004,0,0,0,0,0,0,0,435,536,559,595,618
q4-join-late,32.000,10007,,10006,0,0,0,0,0,0,0,430,535,560,595,631
q4-join-late,33.000,10012,,10011,0,0,0,0,0,0,0,369,530,555,588,695
q4-join-late,34.000,9997,,10009,0,0,0,0,0,0,0,433,535,559,593,618
q4-join-late,35.000,10007,,10007,0,0,0,0,0,0,0,225,534,558,594,622
q4-join-late,36.000,10014,,10005,0,0,0,0,0,0,0,423,536,559,594,613
q4-join-late,37.000,10015,,10013,0,0,0,0,0,0,0,434,537,562,593,621
q4-join-late,38.000,10002,,10001,0,0,0,0,0,0,0,439,535,559,591,612
q4-join-late,39.000,10000,,10012,0,0,0,0,0,0,0,392,535,560,591,616
q4-join-late,40.000,10016,,10004,0,0,0,0,0,0,0,245,532,558,591,610
q4-join-late,41.000,10005,,10006,0,0,0,0,0,0,0,427,537,560,592,611
q4-join-late,42.000,9998,,10009,0,0,0,0,0,0,0,419,535,560,589,619
q4-join-late,43.000,10018,,10007,0,0,0,0,0,0,0,425,536,560,598,709
q4-join-late,44.000,10013,,10013,0,0,0,0,0,0,0,432,537,558,592,617
q4-join-late,45.000,9999,,10010,0,0,0,0,0,0,0,207,538,563,599,617
q4-join-late,46.000,10006,,9996,0,0,0,0,0,0,0,426,539,562,594,623
q4-join-late,47.000,10005,,10004,0,0,0,0,0,0,0,417,535,559,588,615
q4-join-late,48.000,10015,,10015,0,0,0,0,0,0,0,417,539,564,599,624
q4-join-late,49.000,10014,,10014,0,0,0,0,0,0,0,434,534,556,585,617
q4-join-late,50.000,10001,,10001,0,0,0,0,0,0,0,257,538,561,591,614
q4-join-late,51.000,9998,,10009,0,0,0,0,0,0,0,213,536,560,596,626
q4-join-late,52.000,10017,,10007,0,0,0,0,0,0,0,237,537,563,600,629
q4-join-late,53.000,10000,,10010,0,0,0,0,0,0,0,437,536,560,591,608
q4-join-late,54.000,10012,,10012,0,0,0,0,0,0,0,421,535,557,593,616
q4-join-late,55.000,10017,,10007,0,0,0,0,0,0,0,224,533,559,600,637
q4-join-late,56.000,9999,,10009,0,0,0,0,0,0,0,417,535,557,591,618
q4-join-late,57.000,10002,,10002,0,0,0,0,0,0,0,429,536,560,593,633
q4-join-late,58.000,10008,,9999,0,0,0,0,0,0,0,434,537,562,595,619
q4-join-late,59.000,9997,,10006,0,0,0,0,0,0,0,429,534,560,599,641
q4-join-late,60.000,10013,,10013,0,0,0,0,0,0,0,216,531,558,589,610
q4-join-late,61.000,10004,,10004,0,0,0,0,0,0,0,251,536,560,591,621
q4-join-late,62.000,10014,,10014,0,0,0,0,0,0,0,438,537,560,593,620
q4-join-late,63.000,10005,,10005,0,0,0,0,0,0,0,425,534,558,590,620
q4-join-late,64.000,10013,,10013,0,0,0,0,0,0,0,421,531,557,593,628
q4-join-late,65.000,10003,,10003,0,0,0,0,0,0,0,223,528,555,592,616
q4-join-late,66.000,10007,,9995,0,0,0,0,0,0,0,216,518,547,579,607
q4-join-late,67.000,10011,,10023,0,0,0,0,0,0,0,215,526,551,587,610
q4-join-late,68.000,10016,,10005,0,0,0,0,0,0,0,218,523,551,586,649
q4-join-late,69.000,9998,,10009,0,0,0,0,0,0,0,212,512,547,582,616
q4-join-late,70.000,10016,,10016,0,0,0,0,0,0,0,219,537,561,597,626
q4-join-late,71.000,10009,,10009,0,0,0,0,0,0,0,416,535,559,595,626
q4-join-late,72.000,10011,,9999,0,0,0,0,0,0,0,434,535,559,593,627
q4-join-late,73.000,10001,,10003,0,0,0,0,0,0,0,224,530,560,600,1024
q4-join-late,74.000,10014,,10013,0,0,0,0,0,0,0,433,534,558,594,626
q4-join-late,75.000,10006,,10017,0,0,0,0,0,0,0,258,535,561,595,659
q4-join-late,76.000,10005,,10002,0,0,0,0,0,0,0,237,527,554,588,618
q4-join-late,77.000,10003,,10006,0,0,0,0,0,0,0,244,528,555,590,616
q4-join-late,78.000,10013,,10013,0,0,0,0,0,0,0,221,527,553,592,618
