Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分32秒   999    131537   54.00   14.00    0.00    0.00   68.00     3   1687.00      0.00 2680768  123672   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分33秒   999    131537  179.00   35.00    0.00    0.00  214.00     3  46060.00      0.00 2722728  154444   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分34秒   999    131537  177.00   40.00    0.00    0.00  217.00     3  82464.00      0.00 2721572  155208   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分35秒   999    131537  185.00   34.00    0.00    0.00  219.00     3  75756.00      0.00 2718096  154084   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分36秒   999    131537  172.00   36.00    0.00    0.00  208.00     3  78853.00      0.00 2724668  156668   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分37秒   999    131537  181.00   37.00    0.00    0.00  218.00     3  81739.00      0.00 2722200  157984   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分38秒   999    131537  181.00   33.00    0.00    0.00  214.00     3  83938.00      0.00 2725024  157056   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分39秒   999    131537  176.00   39.00    0.00    0.00  215.00     3  88967.00      0.00 2729572  159052   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分40秒   999    131537  184.00   33.00    0.00    0.00  217.00     3  85205.00      0.00 2719736  157032   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分41秒   999    131537  177.00   38.00    0.00    0.00  215.00     3  81636.00      0.00 2718044  153520   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分42秒   999    131537  186.00   29.00    0.00    0.00  215.00     3  78779.00      0.00 2725140  158008   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分43秒   999    131537  175.00   41.00    0.00    0.00  216.00     3  81670.00      0.00 2724064  159200   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分44秒   999    131537  178.00   39.00    0.00    0.00  217.00     3  86640.00      0.00 2733352  160380   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分45秒   999    131537  183.00   32.00    0.00    0.00  215.00     3  82905.00      0.00 2725300  157912   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分46秒   999    131537  179.00   37.00    0.00    0.00  216.00     3  78536.00      0.00 2733520  160888   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分47秒   999    131537  177.00   41.00    0.00    0.00  218.00     3  89131.00      0.00 2725084  163028   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时05分48秒   999    131537  178.00   37.00    0.00    0.00  215.00     3  89281.00      0.00 2731108  160512   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
