id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-fill,1.001,51113,,50793,0,,,,,,,248,874,3929,8723,12135
q5-fill,2.001,59840,,59661,0,,,,,,,382,7101,8324,10923,12480
q5-fill,3.001,60655,,60701,0,,,,,,,330,7117,8320,11263,13136
q5-fill,4.001,58750,,58832,0,,,,,,,427,7407,8673,12116,14024
q5-fill,5.001,61140,,61012,0,,,,,,,360,6896,8095,11139,13592
q5-fill,6.001,60847,,61013,0,,,,,,,483,6863,8177,11221,13602
q5-fill,7.001,60812,,60646,0,,,,,,,581,6991,8286,10656,12701
q5-fill,8.001,60450,,60450,0,,,,,,,701,6916,8347,11496,13362
q5-fill,9.001,62503,,62659,0,,,,,,,514,6808,8000,10953,12755
q5-fill,10.001,61233,,61077,0,,,,,,,897,7104,8209,11150,13177
q5-fill,11.001,60609,,60851,0,,,,,,,330,6902,8324,11699,14284
q5-fill,12.001,62918,,62676,0,,,,,,,441,6815,7800,10193,12227
q5-fill,13.001,61205,,61205,0,,,,,,,419,6911,8196,10867,13450
q5-fill,14.001,61504,,61504,0,,,,,,,347,6871,7834,11410,13821
q5-fill,15.001,61584,,61584,0,,,,,,,654,6883,8024,11051,12993
q5-fill,16.001,61081,,61081,0,,,,,,,486,7102,8346,11320,13439
