id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,31770,,31579,0,31011,201,19194,24317,29098,31516,92,2330,5154,7758,11514
warmup,2.001,58613,,58317,0,58988,1263,5558,9464,47273,52407,391,7089,8036,12483,16631
warmup,3.001,67920,,67907,0,67986,1981,4815,5529,7252,9582,3082,7075,7757,8607,9094
warmup,4.001,66199,,66199,0,66259,1849,4699,5373,6661,7847,1455,7287,7939,8887,9644
warmup,5.001,66044,,66052,0,65997,2790,4675,5197,6368,7525,3875,7374,7958,8817,9307
warmup,6.001,65665,,65659,0,65683,2475,4637,5204,6208,7492,3833,7441,8095,8981,9678
warmup,7.001,67719,,67718,0,67626,1494,4553,5148,6555,8017,2262,7154,7799,8555,9472
warmup,8.001,67610,,67624,0,67698,2938,4677,5317,6459,8614,448,7183,7775,8693,9322
warmup,9.001,68646,,68637,0,68517,1738,4580,5174,6298,7554,791,7067,7665,8500,8977
warmup,10.001,65928,,65924,0,66071,2010,4658,5275,6708,8798,2653,7124,7757,8654,9383
warmup,11.001,66837,,66835,0,66811,2340,4641,5296,6263,6949,2377,7150,7772,8660,9350
warmup,12.001,68136,,68136,0,68188,2538,4670,5294,6365,7606,2751,7035,7761,8596,9338
warmup,13.001,67684,,67776,0,67734,2684,4519,5063,5968,6949,3320,7124,7721,8667,9149
warmup,14.001,68567,,68494,0,68422,2686,4651,5165,5937,6597,3259,7082,7748,8616,9273
warmup,15.001,68589,,68578,0,68591,1426,4598,5155,6119,7162,996,7024,7688,8493,9176
warmup,16.001,68291,,68418,0,68360,2277,4620,5146,6304,6803,3088,7077,7733,8605,9207
warmup,17.001,67698,,67574,0,67663,2875,4527,5035,6039,6710,4529,7155,7778,8570,8988
warmup,18.001,67771,,67760,0,67837,2678,4496,5002,5678,6479,3822,7154,7793,8506,8831
