Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分52秒   999     48834    4.00    1.00    0.00    0.00    5.00     2     73.00      0.00 2673420  118804   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分53秒   999     48834  183.00   57.00    0.00    0.00  240.00     2  40590.00      0.00 2731492  162064   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分54秒   999     48834  235.00  109.00    0.00    0.00  344.00     2  15030.00      0.00 2723056  156952   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分55秒   999     48834  223.00  107.00    0.00    0.00  330.00     2   8094.00      0.00 2721084  155952   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分56秒   999     48834  209.00  118.00    0.00    0.00  327.00     2   5510.00      0.00 2720408  156936   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分57秒   999     48834  209.00  122.00    0.00    0.00  331.00     2   3823.00      0.00 2719432  156212   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分58秒   999     48834  225.00  102.00    0.00    0.00  327.00     2   4062.00      0.00 2719576  155588   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时22分59秒   999     48834  226.00  102.00    0.00    0.00  328.00     2   4318.00      0.00 2719848  156708   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分00秒   999     48834  218.00  105.00    0.00    0.00  323.00     2   2669.00      0.00 2718824  156000   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分01秒   999     48834  224.00  105.00    0.00    0.00  329.00     2   3130.00      0.00 2719608  156264   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分02秒   999     48834  222.00  105.00    0.00    0.00  327.00     2   3499.00      0.00 2719864  156880   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分03秒   999     48834  226.00  100.00    0.00    0.00  326.00     2   3699.00      0.00 2718952  156596   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分04秒   999     48834  215.00  111.00    0.00    0.00  326.00     2   3027.00      0.00 2720488  157672   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分05秒   999     48834  221.00  103.00    0.00    0.00  324.00     2   2755.00      0.00 2722952  159068   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分06秒   999     48834  215.00  108.00    0.00    0.00  323.00     2   1466.00      0.00 2720904  157892   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分07秒   999     48834  221.00  103.00    0.00    0.00  324.00     2   2616.00      0.00 2722952  159216   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时23分08秒   999     48834  226.00   97.00    0.00    0.00  323.00     2   1770.00      0.00 2722952  160100   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
