Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分04秒   999     51407   27.00    9.00    0.00    0.00   36.00     2   1009.00      0.00 2675864  121444   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分05秒   999     51407  210.00   91.00    0.00    0.00  301.00     2  24324.00      0.00 2724128  156252   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分06秒   999     51407  232.00   98.00    0.00    0.00  330.00     2  10450.00      0.00 2720752  154484   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分07秒   999     51407  217.00  107.00    0.00    0.00  324.00     2   6547.00      0.00 2721928  154688   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分08秒   999     51407  221.00  104.00    0.00    0.00  325.00     2   5762.00      0.00 2721416  155428   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分09秒   999     51407  220.00   99.00    0.00    0.00  319.00     2   5494.00      0.00 2721272  155344   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分10秒   999     51407  219.00  103.00    0.00    0.00  322.00     2   4941.00      0.00 2722296  156408   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分11秒   999     51407  210.00  110.00    0.00    0.00  320.00     2   3231.00      0.00 2721272  155688   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分12秒   999     51407  226.00   96.00    0.00    0.00  322.00     2   4542.00      0.00 2721032  155824   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分13秒   999     51407  213.00  109.00    0.00    0.00  322.00     2   2478.00      0.00 2722200  155472   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分14秒   999     51407  221.00  100.00    0.00    0.00  321.00     2   3265.00      0.00 2722568  156316   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分15秒   999     51407  210.00  112.00    0.00    0.00  322.00     2   2057.00      0.00 2721032  156832   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分16秒   999     51407  223.00   98.00    0.00    0.00  321.00     2   1771.00      0.00 2722056  156552   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分17秒   999     51407  212.00  109.00    0.00    0.00  321.00     2   1686.00      0.00 2721544  156232   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分18秒   999     51407  223.00   98.00    0.00    0.00  321.00     2   2291.00      0.00 2721816  156308   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分19秒   999     51407  209.00  111.00    0.00    0.00  320.00     2   2634.00      0.00 2722328  156460   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时31分20秒   999     51407  221.00  103.00    0.00    0.00  324.00     2   2893.00      0.00 2722328  156284   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
