Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分15秒   999     53499    3.00    1.00    0.00    0.00    4.00     0    265.00      0.00 2666680  119556   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分16秒   999     53499  153.00   57.00    0.00    0.00  210.00     0  17320.00      0.00 2713004  153216   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分17秒   999     53499  242.00  104.00    0.00    0.00  346.00     0  23997.00      0.00 2707076  146816   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分18秒   999     53499  231.00  103.00    0.00    0.00  334.00     0   7705.00      0.00 2705740  147472   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分19秒   999     53499  219.00  113.00    0.00    0.00  332.00     0   5448.00      0.00 2704064  147404   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分20秒   999     53499  227.00  104.00    0.00    0.00  331.00     0   3913.00      0.00 2704576  147516   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分21秒   999     53499  237.00  100.00    0.00    0.00  337.00     0   3456.00      0.00 2704848  147656   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分22秒   999     53499  222.00  108.00    0.00    0.00  330.00     0   3089.00      0.00 2704704  147108   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分23秒   999     53499  233.00   97.00    0.00    0.00  330.00     0   3326.00      0.00 2704704  148896   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分24秒   999     53499  221.00  111.00    0.00    0.00  332.00     0   2995.00      0.00 2704192  147704   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分25秒   999     53499  227.00  102.00    0.00    0.00  329.00     0   3762.00      0.00 2705876  148932   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分26秒   999     53499  228.00  102.00    0.00    0.00  330.00     0   2629.00      0.00 2705364  148984   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分27秒   999     53499  233.00  100.00    0.00    0.00  333.00     0   2076.00      0.00 2703828  148296   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分28秒   999     53499  221.00  100.00    0.00    0.00  321.00     0   2124.00      0.00 2704340  148452   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分29秒   999     53499  214.00  113.00    0.00    0.00  327.00     0   2820.00      0.00 2705876  149276   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分30秒   999     53499  219.00  107.00    0.00    0.00  326.00     0   3481.00      0.00 2706972  148900   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时39分31秒   999     53499  232.00  103.00    0.00    0.00  335.00     0   3727.00      0.00 2707340  149716   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
