Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分28秒   999     55576   21.78    7.92    0.00    0.00   29.70     1    841.58      0.00 2675768  121324   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分29秒   999     55576  225.00  101.00    0.00    0.00  326.00     1  16023.00      0.00 2715596  150108   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分30秒   999     55576  225.00  105.00    0.00    0.00  330.00     1   5344.00      0.00 2712520  149464   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分31秒   999     55576  217.00  113.00    0.00    0.00  330.00     1   3791.00      0.00 2712792  150060   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分32秒   999     55576  217.00  107.00    0.00    0.00  324.00     1   3089.00      0.00 2711256  149088   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分33秒   999     55576  229.00   92.00    0.00    0.00  321.00     1   2926.00      0.00 2714680  151460   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分34秒   999     55576  228.00   97.00    0.00    0.00  325.00     1   1968.00      0.00 2714680  151376   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分35秒   999     55576  224.00  109.00    0.00    0.00  333.00     1   2214.00      0.00 2713512  150836   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分36秒   999     55576  226.00  103.00    0.00    0.00  329.00     1   1600.00      0.00 2715416  150732   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分37秒   999     55576  220.00  110.00    0.00    0.00  330.00     1   1680.00      0.00 2713368  150220   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分38秒   999     55576  229.00   95.00    0.00    0.00  324.00     1   1774.00      0.00 2714392  152452   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分39秒   999     55576  226.00   96.00    0.00    0.00  322.00     1   1283.00      0.00 2717100  153204   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分40秒   999     55576  223.00  100.00    0.00    0.00  323.00     1   1190.00      0.00 2714176  152304   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分41秒   999     55576  220.00   98.00    0.00    0.00  318.00     1    885.00      0.00 2713568  152172   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分42秒   999     55576  218.00  106.00    0.00    0.00  324.00     1    976.00      0.00 2714592  152520   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分43秒   999     55576  225.00   99.00    0.00    0.00  324.00     1    933.00      0.00 2714080  152052   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时47分44秒   999     55576  215.00  106.00    0.00    0.00  321.00     1    623.00      0.00 2714592  152180   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
