id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,34470,,33972,0,33551,224,10942,17801,24706,26298,91,2564,5647,10377,13272
warmup,2.001,57622,,57624,0,58294,1502,5493,7150,23533,31100,89,7144,8089,10381,14114
warmup,3.001,63505,,63511,0,63404,2551,4730,5334,6786,9984,313,7645,8319,9412,10071
warmup,4.001,63185,,63226,0,63182,2285,4880,5404,6543,7594,2854,7673,8363,9397,10493
warmup,5.001,63331,,63342,0,63378,2641,4895,5350,6325,7123,3550,7592,8412,9444,10137
warmup,6.001,64506,,64469,0,64471,2266,4920,5561,7019,8807,670,7529,8276,9317,10009
warmup,7.001,63688,,63664,0,63720,2008,4952,5571,7055,8250,2075,7627,8445,9438,10219
warmup,8.001,63592,,63597,0,63592,2467,4975,5577,6721,7749,3563,7610,8377,9456,10028
warmup,9.001,63954,,63949,0,64059,2636,4958,5594,6755,8907,3956,7611,8306,9095,9725
warmup,10.001,61748,,61748,0,61692,2919,4965,5601,6749,8107,2691,8022,8745,9697,10170
warmup,11.001,63283,,63284,0,63074,2964,4863,5414,6992,8117,2205,7669,8591,9437,9973
warmup,12.001,63472,,63471,0,63594,3093,5147,5922,7914,9846,3700,7737,8439,9383,10159
warmup,13.001,62522,,62551,0,62567,2539,4864,5439,6422,7884,980,7785,8601,9428,10090
warmup,14.001,63564,,63535,0,63579,2289,4865,5576,6929,8083,2778,7738,8423,9270,9642
warmup,15.001,65042,,65141,0,65071,2335,4864,5463,6937,7730,4044,7531,8090,8869,9655
warmup,16.001,62469,,62401,0,62467,2446,5104,5933,9108,11758,3027,7703,8437,9377,16366
warmup,17.001,65148,,65117,0,65024,2899,4883,5552,6702,7248,3232,7467,8122,9128,9587
warmup,18.001,65977,,65980,0,66065,2404,4719,5261,6140,6835,3772,7375,7959,8752,9335
warmup,19.001,63318,,63318,0,63338,2609,4826,5506,6725,7712,2871,7734,8322,9227,9893
warmup,20.001,65521,,65520,0,65436,2625,4833,5399,6702,7397,4524,7423,8032,9009,9472
warmup,21.001,65088,,65092,0,65132,2612,4863,5399,6464,7365,3978,7490,8131,9230,9764
warmup,22.001,65206,,65200,0,65233,2619,4776,5343,6280,7440,2990,7492,8079,8919,9510
warmup,23.001,64120,,64173,0,64194,2279,4918,5501,6680,7536,2233,7629,8366,9212,9646
warmup,24.001,62674,,62638,0,62477,2737,4963,5521,6824,8217,3550,7754,8598,9464,10200
warmup,25.001,64083,,64066,0,64212,2479,4769,5264,6142,6769,4362,7516,8240,9153,9701
warmup,26.001,63685,,63685,0,63754,2289,5121,5754,7028,8324,3824,7629,8273,9083,9716
warmup,27.001,63392,,63428,0,63274,2583,4856,5411,6440,7218,3739,7748,8391,9213,9619
warmup,28.001,64811,,64788,0,64785,2509,4847,5383,6279,6862,3555,7526,8247,9046,9328
warmup,29.001,64914,,64901,0,64980,2739,4872,5465,6756,7442,3605,7561,8219,9025,9808
warmup,30.001,66773,,66773,0,66833,2716,5316,6002,7474,9100,3156,7316,8008,9111,9935
warmup,31.001,62973,,62973,0,62885,2389,5176,6121,18103,34404,3505,7555,8221,9198,14733
warmup,32.001,63489,,63489,0,63423,1646,4801,5372,6449,7628,342,7674,8428,9310,10212
warmup,33.001,64932,,65036,0,65072,2615,4880,5485,6541,7407,3329,7495,8273,9193,9744
warmup,34.001,63760,,63659,0,63748,2946,4770,5358,6379,7019,2607,7628,8295,9268,9931
warmup,35.001,62244,,62242,0,62169,2503,4801,5315,6206,7334,5034,7942,8633,9372,9853
warmup,36.001,63441,,63441,0,63427,2823,4737,5215,6291,7091,3835,7781,8306,9182,9985
warmup,37.001,65437,,65437,0,65537,2579,4783,5318,6449,7603,4294,7473,8085,8917,9364
warmup,38.001,64585,,64626,0,64491,2854,4776,5289,6241,6775,4017,7564,8168,9061,9791
