Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分50秒   999     91885   22.00    6.00    0.00    0.00   28.00     0     83.00      0.00 2667136  117892   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分51秒   999     91885   48.00   14.00    0.00    0.00   62.00     0     36.00      0.00 2666992  117892   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分52秒   999     91885   40.00   13.00    0.00    0.00   53.00     0     11.00      0.00 2666040  117516   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分53秒   999     91885   44.00   10.00    0.00    0.00   54.00     0      8.00      0.00 2666040  117516   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分54秒   999     91885   45.00    9.00    0.00    0.00   54.00     0      0.00      0.00 2666040  117516   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分55秒   999     91885   47.00    7.00    0.00    0.00   54.00     0     68.00      0.00 2666040  117644   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分56秒   999     91885   41.00   13.00    0.00    0.00   54.00     0      0.00      0.00 2666040  117644   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分57秒   999     91885   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2666040  117644   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分58秒   999     91885   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2666040  117644   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时25分59秒   999     91885   45.00    9.00    0.00    0.00   54.00     0      0.00      0.00 2666040  117644   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分00秒   999     91885   41.00   13.00    0.00    0.00   54.00     0     50.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分01秒   999     91885   41.00   13.00    0.00    0.00   54.00     0      0.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分02秒   999     91885   38.00   15.00    0.00    0.00   53.00     0      0.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分03秒   999     91885   40.00   14.00    0.00    0.00   54.00     0      0.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分04秒   999     91885   45.00    8.00    0.00    0.00   53.00     0      0.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分05秒   999     91885   40.00   14.00    0.00    0.00   54.00     0      4.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时26分06秒   999     91885   42.00   10.00    0.00    0.00   52.00     0      1.00      0.00 2666040  117772   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
