Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分14秒   999     95996   11.00    3.00    0.00    0.00   14.00     2    160.00      0.00 2669068  119748   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分15秒   999     95996   58.00   15.00    0.00    0.00   73.00     2     57.00      0.00 2669068  119876   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分16秒   999     95996   42.00   12.00    0.00    0.00   54.00     2     37.00      0.00 2669068  119876   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分17秒   999     95996   41.00   13.00    0.00    0.00   54.00     2     63.00      0.00 2669068  119868   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分18秒   999     95996   41.00   13.00    0.00    0.00   54.00     2     47.00      0.00 2669068  119868   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分19秒   999     95996   42.00   14.00    0.00    0.00   56.00     2    121.00      0.00 2667604  119392   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分20秒   999     95996   45.00    8.00    0.00    0.00   53.00     2     12.00      0.00 2667604  119392   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分21秒   999     95996   42.00   12.00    0.00    0.00   54.00     2      2.00      0.00 2667604  119392   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分22秒   999     95996   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2667604  119392   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分23秒   999     95996   40.00   14.00    0.00    0.00   54.00     2     18.00      0.00 2667604  119392   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分24秒   999     95996   44.00   12.00    0.00    0.00   56.00     2     86.00      0.00 2668116  119520   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分25秒   999     95996   44.00   10.00    0.00    0.00   54.00     2     21.00      0.00 2668116  119520   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分26秒   999     95996   41.00   14.00    0.00    0.00   55.00     2     16.00      0.00 2668116  119520   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分27秒   999     95996   44.00   11.00    0.00    0.00   55.00     2     11.00      0.00 2667604  119648   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分28秒   999     95996   40.00   14.00    0.00    0.00   54.00     2     48.00      0.00 2668116  119648   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分29秒   999     95996   38.00   16.00    0.00    0.00   54.00     2     48.00      0.00 2668116  119648   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时42分30秒   999     95996   41.00   13.00    0.00    0.00   54.00     2     21.00      0.00 2668116  119776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
