Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分49秒   999    103766   57.00   13.00    0.00    0.00   70.00     0     37.00      0.00 2669088  119900   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分50秒   999    103766  179.00   33.00    0.00    0.00  212.00     0  52266.00      0.00 2718632  154876   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分51秒   999    103766  174.00   44.00    0.00    0.00  218.00     0  86057.00      0.00 2714480  155992   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分52秒   999    103766  177.00   39.00    0.00    0.00  216.00     0  83253.00      0.00 2718704  161452   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分53秒   999    103766  183.00   30.00    0.00    0.00  213.00     0  83389.00      0.00 2718500  155908   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分54秒   999    103766  178.00   38.00    0.00    0.00  216.00     0  91820.00      0.00 2719976  159860   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分55秒   999    103766  183.00   33.00    0.00    0.00  216.00     0  84401.00      0.00 2717932  157840   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分56秒   999    103766  181.00   35.00    0.00    0.00  216.00     0  80000.00      0.00 2720084  159020   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分57秒   999    103766  178.00   39.00    0.00    0.00  217.00     0  87394.00      0.00 2719848  158244   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分58秒   999    103766  181.00   33.00    0.00    0.00  214.00     0  84698.00      0.00 2717604  157740   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时06分59秒   999    103766  180.00   33.00    0.00    0.00  213.00     0  81075.00      0.00 2723088  158672   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分00秒   999    103766  184.00   35.00    0.00    0.00  219.00     0  81833.00      0.00 2716600  157628   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分01秒   999    103766  179.00   36.00    0.00    0.00  215.00     0  86106.00      0.00 2719692  156892   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分02秒   999    103766  178.00   36.00    0.00    0.00  214.00     0  82624.00      0.00 2713956  156712   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分03秒   999    103766  179.00   36.00    0.00    0.00  215.00     0  88651.00      0.00 2729568  163612   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分04秒   999    103766  177.00   37.00    0.00    0.00  214.00     0  83861.00      0.00 2718660  156736   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时07分05秒   999    103766  175.00   38.00    0.00    0.00  213.00     0  87389.00      0.00 2723832  160748   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
