Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时14分57秒   999    113616   54.00   16.00    0.00    0.00   70.00     2   2124.00      0.00 2679688  124520   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时14分58秒   999    113616  180.00   32.00    0.00    0.00  212.00     2  60936.00      0.00 2708688  145652   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时14分59秒   999    113616  176.00   39.00    0.00    0.00  215.00     2  92375.00      0.00 2715528  154348   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分00秒   999    113616  171.00   40.00    0.00    0.00  211.00     2  96414.00      0.00 2719412  160220   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分01秒   999    113616  176.00   35.00    0.00    0.00  211.00     2  91038.00      0.00 2716044  156144   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分02秒   999    113616  184.00   28.00    0.00    0.00  212.00     2  94702.00      0.00 2721348  156964   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分03秒   999    113616  177.00   35.00    0.00    0.00  212.00     2  95498.00      0.00 2719580  157156   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分04秒   999    113616  175.00   37.00    0.00    0.00  212.00     2  98573.00      0.00 2723244  156780   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分05秒   999    113616  180.00   38.00    0.00    0.00  218.00     2  94965.00      0.00 2716844  153584   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分06秒   999    113616  179.00   35.00    0.00    0.00  214.00     2  95225.00      0.00 2717224  156164   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分07秒   999    113616  179.00   36.00    0.00    0.00  215.00     2  93852.00      0.00 2727884  160516   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分08秒   999    113616  177.00   36.00    0.00    0.00  213.00     2  90700.00      0.00 2727916  156092   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分09秒   999    113616  177.00   38.00    0.00    0.00  215.00     2  89732.00      0.00 2717900  156612   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分10秒   999    113616  181.00   35.00    0.00    0.00  216.00     2  98932.00      0.00 2717864  156320   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分11秒   999    113616  179.00   35.00    0.00    0.00  214.00     2  88860.00      0.00 2717960  155028   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分12秒   999    113616  168.00   48.00    0.00    0.00  216.00     2  93978.00      0.00 2722960  158896   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时15分13秒   999    113616  177.00   40.00    0.00    0.00  217.00     2  92934.00      0.00 2727016  160496   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
