id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32448,,31953,0,31480,191,7206,18785,32994,37495,85,1854,4381,9523,18768
warmup,2.000,55142,,55180,0,55732,631,6847,9888,43233,49016,141,6835,8384,12865,21453
warmup,3.000,63848,,63805,0,64051,2571,5665,6932,8869,10576,450,7496,8241,9266,10711
warmup,4.000,64197,,64197,0,64012,2359,5333,6116,7368,8461,279,7512,8103,9211,10486
warmup,5.000,62888,,62912,0,62901,2707,5722,6630,8725,10444,944,7594,8405,9483,10402
warmup,6.001,62911,,62887,0,62908,306,5542,6421,9165,11034,550,7755,8395,9609,10708
warmup,7.000,63559,,63568,0,63532,1920,5575,6376,8056,10006,295,7580,8297,9385,10311
warmup,8.000,63618,,63610,0,63611,2610,5770,6889,9387,11005,2888,7484,8222,9502,10546
warmup,9.000,63539,,63557,0,63559,1822,5495,6383,7863,9107,3692,7572,8303,9218,9940
warmup,10.000,62461,,62442,0,62536,2401,5472,6340,8531,9588,3751,7863,8571,9647,10399
warmup,11.000,63972,,63972,0,63951,2627,6046,6936,8024,9032,3275,7571,8297,9382,9987
warmup,12.000,63229,,63251,0,63224,2523,5235,5995,8027,9403,1010,7762,8409,9402,10596
warmup,13.000,63989,,63978,0,63919,2772,5474,6272,7717,8580,2645,7623,8211,9254,10347
warmup,14.000,64932,,64961,0,64792,2145,5366,6394,8010,10083,3156,7489,8264,9373,9980
warmup,15.000,65979,,65939,0,66175,2410,5224,5922,7055,8584,3617,7384,8055,8975,9774
warmup,16.000,65041,,65044,0,64934,2118,5506,6204,7490,9422,3898,7524,8249,9223,9993
warmup,17.000,65067,,65069,0,65020,2336,5519,6293,7750,9079,3123,7504,8186,8972,10122
warmup,18.000,65114,,65109,0,65158,2685,5634,6599,8315,9169,2664,7441,8112,9052,9795
warmup,19.000,63270,,63270,0,63440,1905,5835,7249,9048,10413,2796,7672,8393,9438,10519
warmup,20.000,59771,,59771,0,59701,2319,5458,6248,7449,8620,2458,8192,8901,9956,10670
warmup,21.000,59163,,59164,0,59073,2626,5494,6366,8509,9384,3114,8263,9246,10082,10579
warmup,22.000,59179,,59197,0,59300,2639,5414,6126,7494,8508,4634,8268,9117,10033,10642
warmup,23.000,59916,,59930,0,59622,2756,5520,6285,8361,9755,2318,8151,8995,10056,10653
warmup,24.000,62726,,62693,0,62891,2236,5806,6771,8726,9912,3784,7813,8536,9507,10388
warmup,25.000,62697,,62697,0,62815,2331,5510,6568,8627,9992,3347,7787,8573,9593,10368
warmup,26.000,63221,,63227,0,63240,3035,5374,6163,8145,10104,4297,7711,8369,9373,10086
warmup,27.000,61112,,61107,0,61015,2746,5640,6522,8110,9201,4083,7965,8793,9842,10433
warmup,28.000,64203,,64202,0,64105,2287,5269,6074,7417,8269,3453,7513,8236,9157,10098
warmup,29.000,61800,,61811,0,61948,3417,5558,6402,8244,9780,3531,7852,8667,9699,10532
warmup,30.000,63673,,63663,0,63667,2567,5637,6568,8716,10163,3539,7573,8289,9324,10121
warmup,31.000,64857,,64888,0,64826,2384,5920,6755,8325,9980,2895,7463,8079,9263,9715
warmup,32.000,64804,,64772,0,64834,275,5562,6565,8347,9333,256,7288,7984,9094,10181
warmup,33.000,65208,,65208,0,65298,2947,5471,6351,7649,8353,1874,7477,8103,9125,9781
warmup,34.000,64977,,65094,0,64886,2795,5438,6403,7771,9073,2269,7515,8210,9126,9849
warmup,35.000,63300,,63195,0,63205,2606,5506,6619,8046,9048,3146,7654,8317,9303,10077
warmup,36.000,65105,,65102,0,65027,3041,5426,6434,9199,11382,3112,7361,8010,9087,10090
warmup,37.000,64223,,64216,0,64447,2584,5946,6974,8338,9196,4100,7552,8274,9231,9719
warmup,38.000,64111,,64116,0,64132,2666,5369,6164,7996,9764,3147,7625,8307,9376,10333
warmup,39.000,63736,,63730,0,63719,2905,5282,6059,7811,8779,3546,7586,8359,9321,9893
warmup,40.000,64465,,64486,0,64526,2009,5426,6470,7850,8558,3091,7527,8151,9045,9821
warmup,41.000,64711,,64690,0,64646,2599,5301,5927,7239,8293,3385,7484,8170,9264,10004
warmup,42.000,64393,,64425,0,64350,2717,5521,6590,9035,10231,3280,7546,8229,9287,10089
warmup,43.000,63471,,63439,0,63470,2406,5427,6187,7579,8492,2636,7675,8371,9361,9918
warmup,44.000,64768,,64768,0,64732,2557,5403,6180,7945,9546,4575,7546,8184,9073,9713
warmup,45.000,63900,,63900,0,63956,3033,5716,6591,8085,10203,3513,7685,8337,9501,10372
warmup,46.000,64283,,64288,0,64365,2040,5611,6759,8556,9967,3197,7491,8168,9403,10088
warmup,47.000,64362,,64410,0,64263,2471,5379,6197,7464,8005,2512,7545,8282,9279,9905
warmup,48.000,63972,,63979,0,64013,3120,5350,6230,7806,8855,2849,7607,8370,9467,10460
warmup,49.000,63909,,63849,0,63932,3151,5615,6324,7881,9206,3699,7638,8299,9336,10220
warmup,50.000,65118,,65132,0,64990,2963,5374,6172,7153,8415,3742,7404,8213,9098,9885
warmup,51.000,64627,,64613,0,64657,2750,6253,7319,8869,9801,3532,7505,8266,9349,10329
warmup,52.000,64243,,64243,0,64275,2891,5460,6391,7764,9539,3407,7585,8288,9289,9714
warmup,53.000,65451,,65453,0,65354,2710,5751,6856,8172,9075,2558,7417,8136,9115,9827
warmup,54.000,63370,,63393,0,63448,2823,5740,6526,8026,8823,2930,7621,8281,9377,10260
warmup,55.000,61916,,61891,0,61766,2908,5550,6511,8503,10286,2847,7925,8706,9671,10349
warmup,56.000,61854,,61854,0,61873,3127,5476,6317,7763,8797,3442,7799,8613,9790,10349
warmup,57.000,61724,,61724,0,61860,3341,6027,6967,8520,9670,3656,7840,8621,9753,10435
warmup,58.000,61446,,61458,0,61486,2739,5270,5983,7104,7871,3913,7989,8643,9755,10256
