Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分28秒   999     50076   13.00    4.00    0.00    0.00   17.00     0    662.00      0.00 2672484  120708   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分29秒   999     50076  199.00   65.00    0.00    0.00  264.00     0  34480.00      0.00 2724404  160508   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分30秒   999     50076  224.00  110.00    0.00    0.00  334.00     0   6471.00      0.00 2722512  159960   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分31秒   999     50076  214.00  111.00    0.00    0.00  325.00     0   4010.00      0.00 2718344  159492   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分32秒   999     50076  225.00  100.00    0.00    0.00  325.00     0   3790.00      0.00 2715848  157564   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分33秒   999     50076  225.00  100.00    0.00    0.00  325.00     0   3216.00      0.00 2716636  157684   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分34秒   999     50076  226.00   99.00    0.00    0.00  325.00     0   1895.00      0.00 2716028  158004   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分35秒   999     50076  220.00  106.00    0.00    0.00  326.00     0   2067.00      0.00 2715660  157868   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分36秒   999     50076  219.00  106.00    0.00    0.00  325.00     0   1733.00      0.00 2715804  158208   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分37秒   999     50076  220.00  109.00    0.00    0.00  329.00     0   1611.00      0.00 2716316  158824   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分38秒   999     50076  215.00  106.00    0.00    0.00  321.00     0   1528.00      0.00 2716316  158224   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分39秒   999     50076  231.00   86.00    0.00    0.00  317.00     0   1423.00      0.00 2715804  158328   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分40秒   999     50076  222.00   98.00    0.00    0.00  320.00     0   1057.00      0.00 2716828  158536   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分41秒   999     50076  220.00  109.00    0.00    0.00  329.00     0   1274.00      0.00 2716976  158960   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分42秒   999     50076  228.00   92.00    0.00    0.00  320.00     0   1177.00      0.00 2715440  158328   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分43秒   999     50076  234.00   89.00    0.00    0.00  323.00     0   1043.00      0.00 2715440  158584   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时57分44秒   999     50076  217.00  106.00    0.00    0.00  323.00     0   1019.00      0.00 2714416  157820   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
