Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分51秒   999     69106   19.00    5.00    0.00    0.00   24.00     0   1024.00      0.00 2673120  122696   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分52秒   999     69106  248.00   87.00    0.00    0.00  335.00     0  46156.00      0.00 2717856  156780   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分53秒   999     69106  250.00  122.00    0.00    0.00  372.00     0  22396.00      0.00 2724456  160452   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分54秒   999     69106  251.00  117.00    0.00    0.00  368.00     0   9396.00      0.00 2723708  159844   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分55秒   999     69106  258.00  116.00    0.00    0.00  374.00     0   7034.00      0.00 2723564  161032   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分56秒   999     69106  273.00   94.00    0.00    0.00  367.00     0   4280.00      0.00 2723932  160236   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分57秒   999     69106  258.00  109.00    0.00    0.00  367.00     0   4001.00      0.00 2723932  160784   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分58秒   999     69106  258.00  108.00    0.00    0.00  366.00     0   2603.00      0.00 2723932  160908   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时54分59秒   999     69106  254.00  111.00    0.00    0.00  365.00     0   2840.00      0.00 2724300  161064   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分00秒   999     69106  252.00  116.00    0.00    0.00  368.00     0   2364.00      0.00 2722764  160312   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分01秒   999     69106  254.00  112.00    0.00    0.00  366.00     0   3295.00      0.00 2725084  160644   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分02秒   999     69106  250.00  114.00    0.00    0.00  364.00     0   2879.00      0.00 2724572  160456   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分03秒   999     69106  254.00  112.00    0.00    0.00  366.00     0   2346.00      0.00 2725084  161480   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分04秒   999     69106  256.00  105.00    0.00    0.00  361.00     0   2013.00      0.00 2725308  160832   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分05秒   999     69106  246.00  113.00    0.00    0.00  359.00     0   2032.00      0.00 2723260  160400   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分06秒   999     69106  259.00  105.00    0.00    0.00  364.00     0   1991.00      0.00 2724796  161344   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时55分07秒   999     69106  252.00  116.00    0.00    0.00  368.00     0   2424.00      0.00 2726844  162612   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
