Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分14秒   999     87880    2.00    2.00    0.00    0.00    4.00     0     94.00      0.00 2668420  118668   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分15秒   999     87880   66.00   15.00    0.00    0.00   81.00     0    205.00      0.00 2668932  119012   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分16秒   999     87880   42.00   12.00    0.00    0.00   54.00     0     17.00      0.00 2667980  118524   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分17秒   999     87880   44.00   11.00    0.00    0.00   55.00     0     35.00      0.00 2667980  118524   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分18秒   999     87880   42.00   12.00    0.00    0.00   54.00     0     47.00      0.00 2667980  118524   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分19秒   999     87880   42.00   13.00    0.00    0.00   55.00     0     60.00      0.00 2667980  118780   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分20秒   999     87880   41.00   14.00    0.00    0.00   55.00     0     46.00      0.00 2667980  118692   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分21秒   999     87880   44.00   11.00    0.00    0.00   55.00     0     96.00      0.00 2667980  118692   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分22秒   999     87880   38.00   16.00    0.00    0.00   54.00     0      7.00      0.00 2667980  118692   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分23秒   999     87880   43.00   12.00    0.00    0.00   55.00     0      9.00      0.00 2667980  118692   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分24秒   999     87880   44.00   11.00    0.00    0.00   55.00     0     64.00      0.00 2667980  118948   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分25秒   999     87880   41.00   13.00    0.00    0.00   54.00     0     10.00      0.00 2667980  118948   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分26秒   999     87880   44.00   11.00    0.00    0.00   55.00     0      0.00      0.00 2667980  118948   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分27秒   999     87880   46.00    9.00    0.00    0.00   55.00     0      0.00      0.00 2667980  118948   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分28秒   999     87880   40.00   15.00    0.00    0.00   55.00     0     23.00      0.00 2667980  119076   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分29秒   999     87880   38.00   16.00    0.00    0.00   54.00     0     79.00      0.00 2669004  119332   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时52分30秒   999     87880   41.00   14.00    0.00    0.00   55.00     0      2.00      0.00 2668492  119332   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
