Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分02秒   999     96051   22.00    7.00    0.00    0.00   29.00     3    115.00      0.00 2669208  120988   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分03秒   999     96051   50.00   13.00    0.00    0.00   63.00     3      2.00      0.00 2667744  120744   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分04秒   999     96051   44.00    9.00    0.00    0.00   53.00     3      0.00      0.00 2667744  120744   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分05秒   999     96051   43.00   12.00    0.00    0.00   55.00     3      0.00      0.00 2667744  120744   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分06秒   999     96051   44.00   10.00    0.00    0.00   54.00     3      0.00      0.00 2667744  120744   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分07秒   999     96051   43.00   10.00    0.00    0.00   53.00     3     58.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分08秒   999     96051   43.00   12.00    0.00    0.00   55.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分09秒   999     96051   43.00   10.00    0.00    0.00   53.00     3     10.00      0.00 2668256  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分10秒   999     96051   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分11秒   999     96051   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分12秒   999     96051   43.00   10.00    0.00    0.00   53.00     3     31.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分13秒   999     96051   42.00   13.00    0.00    0.00   55.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分14秒   999     96051   46.00    8.00    0.00    0.00   54.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分15秒   999     96051   42.00   12.00    0.00    0.00   54.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分16秒   999     96051   44.00   10.00    0.00    0.00   54.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分17秒   999     96051   45.00    9.00    0.00    0.00   54.00     3     34.00      0.00 2668256  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时25分18秒   999     96051   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2667744  120872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
