Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分14秒   999     98131   55.00   15.00    0.00    0.00   70.00     3   1244.00      0.00 2672620  122048   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分15秒   999     98131  166.00   46.00    0.00    0.00  212.00     3  56050.00      0.00 2717412  154264   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分16秒   999     98131  178.00   39.00    0.00    0.00  217.00     3  86694.00      0.00 2726472  159840   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分17秒   999     98131  170.00   44.00    0.00    0.00  214.00     3  85296.00      0.00 2720696  161068   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分18秒   999     98131  171.00   42.00    0.00    0.00  213.00     3  89079.00      0.00 2718648  156820   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分19秒   999     98131  180.00   35.00    0.00    0.00  215.00     3  83002.00      0.00 2721632  159084   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分20秒   999     98131  180.00   36.00    0.00    0.00  216.00     3  79606.00      0.00 2721812  157580   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分21秒   999     98131  170.00   40.00    0.00    0.00  210.00     3  81912.00      0.00 2727764  160904   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分22秒   999     98131  182.00   35.00    0.00    0.00  217.00     3  86888.00      0.00 2723644  157436   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分23秒   999     98131  168.00   40.00    0.00    0.00  208.00     3  79280.00      0.00 2725244  159976   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分24秒   999     98131  177.00   35.00    0.00    0.00  212.00     3  79212.00      0.00 2720912  159196   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分25秒   999     98131  175.00   38.00    0.00    0.00  213.00     3  81602.00      0.00 2722804  160228   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分26秒   999     98131  177.00   38.00    0.00    0.00  215.00     3  82946.00      0.00 2714672  155896   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分27秒   999     98131  175.00   38.00    0.00    0.00  213.00     3  81265.00      0.00 2724092  158448   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分28秒   999     98131  177.00   38.00    0.00    0.00  215.00     3  84170.00      0.00 2717684  154488   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分29秒   999     98131  167.00   40.00    0.00    0.00  207.00     3  78673.00      0.00 2718688  154432   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分30秒   999     98131  173.00   37.00    0.00    0.00  210.00     3  82388.00      0.00 2722980  158344   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
