Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分47秒   999     76202   37.00   11.00    0.00    0.00   48.00     0   2458.00      0.00 2683596  127456   0.39  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分48秒   999     76202  255.00  102.00    0.00    0.00  357.00     0  32764.00      0.00 2733392  166208   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分49秒   999     76202  256.00  115.00    0.00    0.00  371.00     0  10618.00      0.00 2729264  161608   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分50秒   999     76202  267.00  105.00    0.00    0.00  372.00     0  10836.00      0.00 2728256  161260   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分51秒   999     76202  257.00  115.00    0.00    0.00  372.00     0   3997.00      0.00 2728400  160948   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分52秒   999     76202  256.00  110.00    0.00    0.00  366.00     0   2258.00      0.00 2725992  160100   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分53秒   999     76202  251.00  110.00    0.00    0.00  361.00     0   2055.00      0.00 2725544  160740   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分54秒   999     76202  250.00  110.00    0.00    0.00  360.00     0   1039.00      0.00 2724664  159544   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分55秒   999     76202  270.00   96.00    0.00    0.00  366.00     0   1942.00      0.00 2725096  159332   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分56秒   999     76202  258.00  104.00    0.00    0.00  362.00     0   2332.00      0.00 2723992  159180   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分57秒   999     76202  255.00  109.00    0.00    0.00  364.00     0   2521.00      0.00 2721508  157968   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分58秒   999     76202  244.00  117.00    0.00    0.00  361.00     0   3731.00      0.00 2721428  157348   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时24分59秒   999     76202  262.00  107.00    0.00    0.00  369.00     0   2832.00      0.00 2722020  157452   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时25分00秒   999     76202  255.00  106.00    0.00    0.00  361.00     0   1969.00      0.00 2721476  157360   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时25分01秒   999     76202  254.00  102.00    0.00    0.00  356.00     0   1567.00      0.00 2720964  156588   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时25分02秒   999     76202  255.00  105.00    0.00    0.00  360.00     0   2067.00      0.00 2722500  157668   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时25分03秒   999     76202  262.00  100.00    0.00    0.00  362.00     0   1046.00      0.00 2721476  157608   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
