Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分21秒   999     98886    3.00    0.00    0.00    0.00    3.00     2     19.00      0.00 2669828  123432   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分22秒   999     98886   63.00   14.00    0.00    0.00   77.00     2    496.00      0.00 2672464  124584   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分23秒   999     98886   44.00   12.00    0.00    0.00   56.00     2      0.00      0.00 2671440  124168   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分24秒   999     98886   40.00   15.00    0.00    0.00   55.00     2      0.00      0.00 2670416  123620   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分25秒   999     98886   41.00   14.00    0.00    0.00   55.00     2     10.00      0.00 2669828  123620   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分26秒   999     98886   45.00   10.00    0.00    0.00   55.00     2     99.00      0.00 2670340  123748   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分27秒   999     98886   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2670340  123748   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分28秒   999     98886   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2670340  123748   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分29秒   999     98886   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2670340  123748   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分30秒   999     98886   40.00   14.00    0.00    0.00   54.00     2      0.00      0.00 2670340  123748   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分31秒   999     98886   44.00    9.00    0.00    0.00   53.00     2     18.00      0.00 2669828  123636   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分32秒   999     98886   43.00   12.00    0.00    0.00   55.00     2    107.00      0.00 2670340  123892   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分33秒   999     98886   42.00   12.00    0.00    0.00   54.00     2     13.00      0.00 2669828  123668   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分34秒   999     98886   43.00   10.00    0.00    0.00   53.00     2     10.00      0.00 2669828  123668   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分35秒   999     98886   46.00    8.00    0.00    0.00   54.00     2     18.00      0.00 2669828  123668   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分36秒   999     98886   46.00    8.00    0.00    0.00   54.00     2     97.00      0.00 2670852  123796   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时30分37秒   999     98886   44.00   10.00    0.00    0.00   54.00     2      1.00      0.00 2670852  123796   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
