Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分33秒   999    106192    3.00    1.00    0.00    0.00    4.00     2    141.00      0.00 2667732  120736   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分34秒   999    106192   62.00   18.00    0.00    0.00   80.00     2     30.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分35秒   999    106192   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分36秒   999    106192   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分37秒   999    106192   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分38秒   999    106192   43.00   13.00    0.00    0.00   56.00     2     28.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分39秒   999    106192   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分40秒   999    106192   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分41秒   999    106192   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分42秒   999    106192   44.00   12.00    0.00    0.00   56.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分43秒   999    106192   41.00   13.00    0.00    0.00   54.00     2     15.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分44秒   999    106192   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分45秒   999    106192   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分46秒   999    106192   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分47秒   999    106192   44.00   10.00    0.00    0.00   54.00     2     10.00      0.00 2668244  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分48秒   999    106192   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时38分49秒   999    106192   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2667732  120864   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
