Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分45秒   999    108231   25.00    5.00    0.00    0.00   30.00     2    101.00      0.00 2671416  118160   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分46秒   999    108231   45.00   13.00    0.00    0.00   58.00     2      1.00      0.00 2671160  118160   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分47秒   999    108231   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2670648  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分48秒   999    108231   42.00   11.00    0.00    0.00   53.00     2      0.00      0.00 2670648  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分49秒   999    108231   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2670648  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分50秒   999    108231   45.00    8.00    0.00    0.00   53.00     2    162.00      0.00 2671160  118176   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分51秒   999    108231   39.00   15.00    0.00    0.00   54.00     2     61.00      0.00 2671160  118048   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分52秒   999    108231   43.00   10.00    0.00    0.00   53.00     2     57.00      0.00 2671160  118176   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分53秒   999    108231   42.00   12.00    0.00    0.00   54.00     2     25.00      0.00 2671160  118176   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分54秒   999    108231   45.00    7.00    0.00    0.00   52.00     2     47.00      0.00 2671160  118176   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分55秒   999    108231   46.00    9.00    0.00    0.00   55.00     2     50.00      0.00 2671160  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分56秒   999    108231   38.00   15.00    0.00    0.00   53.00     2      6.00      0.00 2671160  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分57秒   999    108231   42.00   11.00    0.00    0.00   53.00     2      0.00      0.00 2671160  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分58秒   999    108231   34.00   19.00    0.00    0.00   53.00     2      0.00      0.00 2671160  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时46分59秒   999    108231   39.00   13.00    0.00    0.00   52.00     2      0.00      0.00 2671160  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时47分00秒   999    108231   45.00   10.00    0.00    0.00   55.00     2     46.00      0.00 2671160  118432   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时47分01秒   999    108231   44.00    9.00    0.00    0.00   53.00     2     26.00      0.00 2671160  118432   0.36  beam.smp

