id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34073,,33599,0,33715,221,17857,23151,27302,36159,106,5064,9244,13353,15792
warmup,2.000,55572,,55562,0,55616,2990,6426,9586,21319,26609,355,7320,8360,9941,11919
warmup,3.000,61790,,61774,0,61823,3033,5213,5875,6940,8881,3194,7803,8687,9646,10435
warmup,4.000,61290,,61290,0,61104,2963,5071,5733,7422,8417,3050,7911,8574,9621,10249
warmup,5.000,63154,,63154,0,63279,2294,5150,5941,7558,8821,2516,7635,8362,9404,10256
warmup,6.000,62199,,62199,0,62267,1886,5205,6003,7601,8905,641,7846,8644,9491,10129
warmup,7.000,63181,,63181,0,63059,3010,5094,5751,7001,7714,398,7696,8441,9427,10128
warmup,8.000,61204,,61277,0,61379,2316,5081,5660,6835,7824,2656,7945,8700,9649,10281
warmup,9.000,63246,,63181,0,63213,2510,5041,5667,7061,8057,1958,7705,8372,9378,10038
warmup,10.000,63895,,63887,0,63850,2228,5239,5951,7365,9187,1004,7484,8185,9102,10160
warmup,11.000,63283,,63283,0,63265,2253,4971,5618,6922,7996,1723,7599,8273,9271,10068
warmup,12.000,63859,,63932,0,63812,2871,5119,5787,6958,7938,4122,7642,8296,9225,9905
warmup,13.000,62246,,62173,0,62299,1882,5131,5978,7481,8917,3880,7853,8563,9525,10247
warmup,14.000,61840,,61869,0,61873,3047,5029,5750,6892,7710,3087,7824,8663,9583,10057
warmup,15.000,62344,,62329,0,62243,2675,5288,6009,7289,9031,2147,7828,8613,9759,10331
warmup,16.000,60719,,60705,0,60742,2799,5068,5686,6930,8005,2110,7847,8533,9546,11792
warmup,17.000,61763,,61764,0,61840,2915,5131,5760,7016,8154,3713,7946,8616,9707,10329
warmup,18.000,63312,,63380,0,63171,3007,5173,5725,6621,7283,3313,7697,8474,9518,10028
warmup,19.000,64053,,63992,0,64210,2961,5254,6006,6997,7902,2950,7596,8230,9258,9947
warmup,20.000,63064,,63055,0,63031,2721,5027,5656,6673,8025,3284,7723,8513,9554,10138
warmup,21.000,64060,,64064,0,63903,3121,4996,5624,6588,7744,3827,7616,8273,9230,9707
warmup,22.000,62902,,62898,0,63051,2848,5125,5767,7193,9845,3091,7807,8582,9496,10281
warmup,23.000,63436,,63436,0,63526,2712,5005,5643,6616,7549,3823,7621,8344,9279,9750
warmup,24.000,62569,,62569,0,62373,2176,5148,5913,7422,8455,3782,7869,8507,9467,10020
warmup,25.000,63381,,63381,0,63514,2843,5181,5952,7637,9244,4600,7702,8408,9338,9775
warmup,26.000,62843,,62843,0,62823,2760,4988,5469,6332,7200,2773,7710,8482,9528,10060
warmup,27.000,63754,,63760,0,63759,2882,5164,5858,6998,7429,3961,7577,8337,9215,9739
warmup,28.000,62733,,62733,0,62731,2604,5053,5690,7022,8333,3976,7777,8474,9570,10186
warmup,29.000,62304,,62298,0,62315,2430,5035,5723,7159,8725,3760,7892,8571,9492,10142
warmup,30.000,63255,,63264,0,63222,2610,5051,5663,6873,7538,3859,7788,8414,9377,9860
warmup,31.000,62287,,62297,0,62239,3301,5113,5677,7059,10360,4279,7782,8488,9508,11698
warmup,32.000,63075,,63075,0,63193,2616,5260,5964,7232,8089,4199,7722,8430,9474,10370
warmup,33.000,63391,,63372,0,63414,2661,5125,5647,6493,7492,4072,7652,8262,9141,9879
warmup,34.000,64438,,64475,0,64368,3071,5027,5848,7124,7892,3956,7470,8169,9313,9799
warmup,35.000,63117,,63183,0,63068,2545,5368,6085,7460,8451,3502,7696,8541,9761,10481
warmup,36.000,64291,,64218,0,64303,2576,4933,5553,6647,7712,4553,7561,8184,8956,9608
warmup,37.000,62953,,63040,0,63046,2585,5122,5778,6742,8018,2783,7731,8514,9500,10179
warmup,38.000,64118,,64077,0,63854,2735,5050,5696,7268,9502,3487,7541,8189,9453,10171
warmup,39.000,63845,,63770,0,64057,2749,4925,5447,6489,7353,4542,7590,8220,9178,9874
warmup,40.000,62678,,62678,0,62625,2834,5173,5849,6910,7871,3442,7760,8578,9461,9930
warmup,41.000,65460,,65537,0,65429,2570,4925,5520,6647,7472,4130,7381,8071,8877,9471
warmup,42.000,64598,,64522,0,64584,2538,4819,5493,6591,7397,2760,7464,8235,9222,9715
warmup,43.000,65202,,65286,0,65235,2669,4936,5491,6451,7076,3650,7534,8072,9016,9396
warmup,44.000,64879,,64806,0,64963,2434,4911,5456,6669,8065,3578,7525,8187,9083,9887
warmup,45.000,64210,,64198,0,64111,2157,4897,5409,6495,7275,1905,7543,8271,9230,9923
warmup,46.000,63904,,63932,0,63990,3056,5164,6010,7400,8183,2450,7620,8269,9312,9982
warmup,47.000,61403,,61383,0,61312,2899,5094,5730,7365,8649,4160,7722,8527,9491,29008
warmup,48.000,63583,,63575,0,63602,2065,4924,5522,6554,7496,2755,7668,8307,9230,9753
warmup,49.000,65485,,65487,0,65482,2590,4915,5644,6953,7771,2109,7426,8060,8939,9453
warmup,50.000,64441,,64455,0,64411,2474,5027,5686,6748,7600,3756,7592,8283,9211,10511
warmup,51.000,64807,,64791,0,64788,2531,4957,5587,6839,7809,3931,7556,8141,9066,9787
warmup,52.000,66518,,66518,0,66542,2754,4821,5404,6231,6966,4024,7273,7846,8596,9067
warmup,53.000,65704,,65721,0,65622,2587,4978,5665,6653,7719,3458,7437,8042,8960,9728
warmup,54.000,64771,,64754,0,64960,2844,4976,5651,6838,7751,3312,7607,8208,9202,9853
warmup,55.000,65803,,65807,0,65821,2723,4992,5669,6567,7693,4530,7475,7992,8711,9376
warmup,56.000,64905,,64901,0,64794,2466,4981,5618,6527,7410,3360,7592,8172,8971,9832
