Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分07秒   999     67460   16.00   11.00    0.00    0.00   27.00     1    855.00      0.00 2675856  122404   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分08秒   999     67460  232.00   91.00    0.00    0.00  323.00     1  18248.00      0.00 2711932  150904   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分09秒   999     67460  218.00  112.00    0.00    0.00  330.00     1   4483.00      0.00 2712464  151072   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分10秒   999     67460  213.00  112.00    0.00    0.00  325.00     1   2800.00      0.00 2711344  150136   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分11秒   999     67460  227.00   95.00    0.00    0.00  322.00     1   3729.00      0.00 2712512  150832   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分12秒   999     67460  232.00   92.00    0.00    0.00  324.00     1   3094.00      0.00 2712784  151224   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分13秒   999     67460  220.00  107.00    0.00    0.00  327.00     1   2298.00      0.00 2711760  151900   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分14秒   999     67460  220.00  104.00    0.00    0.00  324.00     1   1872.00      0.00 2712128  151816   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分15秒   999     67460  227.00  102.00    0.00    0.00  329.00     1   1908.00      0.00 2713152  151836   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分16秒   999     67460  216.00  103.00    0.00    0.00  319.00     1   1824.00      0.00 2711616  151664   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分17秒   999     67460  213.00  111.00    0.00    0.00  324.00     1   1625.00      0.00 2712128  151688   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分18秒   999     67460  217.00  107.00    0.00    0.00  324.00     1   2111.00      0.00 2711616  151012   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分19秒   999     67460  214.00  108.00    0.00    0.00  322.00     1   1986.00      0.00 2711104  151244   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分20秒   999     67460  217.00  104.00    0.00    0.00  321.00     1   2134.00      0.00 2710960  151252   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分21秒   999     67460  217.00  110.00    0.00    0.00  327.00     1   1448.00      0.00 2710960  150884   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分22秒   999     67460  216.00  104.00    0.00    0.00  320.00     1   1583.00      0.00 2711984  152292   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时02分23秒   999     67460  208.00  112.00    0.00    0.00  320.00     1   1655.00      0.00 2712496  152428   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
