Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时34分55秒   999     80501   32.00   12.00    0.00    0.00   44.00     3   1128.00      0.00 2675312  119296   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时34分56秒   999     80501  258.00   98.00    0.00    0.00  356.00     3  40344.00      0.00 2718360  152200   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时34分57秒   999     80501  260.00  116.00    0.00    0.00  376.00     3  15461.00      0.00 2717884  152764   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时34分58秒   999     80501  266.00  104.00    0.00    0.00  370.00     3   8389.00      0.00 2717132  151968   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时34分59秒   999     80501  263.00  114.00    0.00    0.00  377.00     3   9072.00      0.00 2717644  152008   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分00秒   999     80501  265.00  109.00    0.00    0.00  374.00     3   7448.00      0.00 2718428  152124   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分01秒   999     80501  261.00  114.00    0.00    0.00  375.00     3   6457.00      0.00 2718336  153280   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分02秒   999     80501  268.00  107.00    0.00    0.00  375.00     3   3844.00      0.00 2717584  153208   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分03秒   999     80501  266.00  103.00    0.00    0.00  369.00     3   2906.00      0.00 2716928  152244   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分04秒   999     80501  263.00  111.00    0.00    0.00  374.00     3   2373.00      0.00 2715768  151620   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分05秒   999     80501  255.00  114.00    0.00    0.00  369.00     3   1516.00      0.00 2716040  151172   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分06秒   999     80501  260.00  106.00    0.00    0.00  366.00     3   1672.00      0.00 2716552  151384   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分07秒   999     80501  268.00  101.00    0.00    0.00  369.00     3   1378.00      0.00 2715528  151600   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分08秒   999     80501  262.00  105.00    0.00    0.00  367.00     3   2328.00      0.00 2716040  151400   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分09秒   999     80501  251.00  113.00    0.00    0.00  364.00     3   1715.00      0.00 2716040  151632   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分10秒   999     80501  257.00  108.00    0.00    0.00  365.00     3   1581.00      0.00 2715528  150984   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时35分11秒   999     80501  248.00  114.00    0.00    0.00  362.00     3   1354.00      0.00 2716312  151960   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
