Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分54秒   999    105726    3.00    0.00    0.00    0.00    3.00     0     22.00      0.00 2668624  119436   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分55秒   999    105726   63.00   20.00    0.00    0.00   83.00     0    228.00      0.00 2669648  119872   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分56秒   999    105726   40.00   15.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119532   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分57秒   999    105726   41.00   15.00    0.00    0.00   56.00     0      0.00      0.00 2668624  119532   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分58秒   999    105726   45.00   10.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119532   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时56分59秒   999    105726   45.00   12.00    0.00    0.00   57.00     0    180.00      0.00 2669136  119528   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分00秒   999    105726   44.00   11.00    0.00    0.00   55.00     0     31.00      0.00 2668624  119528   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分01秒   999    105726   47.00    8.00    0.00    0.00   55.00     0     27.00      0.00 2669136  119528   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分02秒   999    105726   46.00    9.00    0.00    0.00   55.00     0      8.00      0.00 2669136  119528   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分03秒   999    105726   44.00   12.00    0.00    0.00   56.00     0     29.00      0.00 2669136  119528   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分04秒   999    105726   42.00   14.00    0.00    0.00   56.00     0    138.00      0.00 2668624  119172   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分05秒   999    105726   39.00   16.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119172   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分06秒   999    105726   40.00   15.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119172   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分07秒   999    105726   42.00   13.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119172   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分08秒   999    105726   46.00    9.00    0.00    0.00   55.00     0      0.00      0.00 2668624  119172   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分09秒   999    105726   43.00   12.00    0.00    0.00   55.00     0     87.00      0.00 2669136  119428   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时57分10秒   999    105726   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2669136  119428   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
