Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分06秒   999    107607   23.00    6.00    0.00    0.00   29.00     3    263.00      0.00 2672360  119484   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分07秒   999    107607   49.00   13.00    0.00    0.00   62.00     3    134.00      0.00 2672360  119052   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分08秒   999    107607   41.00   13.00    0.00    0.00   54.00     3     91.00      0.00 2671336  118720   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分09秒   999    107607   46.00    9.00    0.00    0.00   55.00     3     21.00      0.00 2671336  118720   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分10秒   999    107607   45.00   10.00    0.00    0.00   55.00     3     84.00      0.00 2671848  118720   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分11秒   999    107607   46.00   10.00    0.00    0.00   56.00     3    234.00      0.00 2671848  119360   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分12秒   999    107607   46.00    9.00    0.00    0.00   55.00     3     89.00      0.00 2671336  119196   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分13秒   999    107607   42.00   13.00    0.00    0.00   55.00     3     46.00      0.00 2671336  119068   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分14秒   999    107607   43.00   13.00    0.00    0.00   56.00     3     60.00      0.00 2671336  119196   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分15秒   999    107607   42.00   13.00    0.00    0.00   55.00     3     56.00      0.00 2671336  119196   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分16秒   999    107607   42.00   14.00    0.00    0.00   56.00     3    139.00      0.00 2670384  119060   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分17秒   999    107607   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2670384  119060   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分18秒   999    107607   40.00   15.00    0.00    0.00   55.00     3      0.00      0.00 2670384  119060   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分19秒   999    107607   34.00   20.00    0.00    0.00   54.00     3      0.00      0.00 2670384  119060   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分20秒   999    107607   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2670384  119060   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分21秒   999    107607   39.00   17.00    0.00    0.00   56.00     3    158.00      0.00 2670896  119316   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时05分22秒   999    107607   42.00   13.00    0.00    0.00   55.00     3      0.00      0.00 2670896  119316   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
