id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-drain,1.001,,,,,80860,17748580,17989079,18086755,18232555,18301283,,,,,
q5-drain,2.000,,,,,90319,17263452,17514248,17629678,17731409,17743594,,,,,
q5-drain,3.001,,,,,89741,16767335,17028108,17139165,17244473,17260002,,,,,
q5-drain,4.000,,,,,90810,16295858,16534618,16640507,16745864,16765188,,,,,
q5-drain,5.000,,,,,90154,15789935,16030934,16174032,16277133,16294184,,,,,
q5-drain,6.000,,,,,79065,15486556,15589446,15689680,15779619,15797640,,,,,
q5-drain,7.000,,,,,82120,15142772,15262423,15381450,15458814,15474325,,,,,
q5-drain,8.000,,,,,84894,14723383,14936923,15056238,15144472,15153953,,,,,
q5-drain,9.000,,,,,90081,14241721,14491475,14613576,14708510,14722269,,,,,
q5-drain,10.000,,,,,91233,13750342,13985498,14116877,14213991,14238662,,,,,
q5-drain,11.000,,,,,90575,13254198,13496307,13634054,13724552,13745993,,,,,
q5-drain,12.000,,,,,40760,13021298,13144178,13189906,13242268,13254348,,,,,
