Linux 6.6.30+ (kylin) 	2026年07月20日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分46秒   999    112755   53.00   15.00    0.00    0.00   68.00     0    108.00      0.00 2667216  118220   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分47秒   999    112755  180.00   34.00    0.00    0.00  214.00     0  48960.00      0.00 2703116  146676   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分48秒   999    112755  180.00   35.00    0.00    0.00  215.00     0  81454.00      0.00 2714328  156104   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分49秒   999    112755  175.00   42.00    0.00    0.00  217.00     0  80569.00      0.00 2720332  157864   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分50秒   999    112755  182.00   38.00    0.00    0.00  220.00     0  83111.00      0.00 2718764  158596   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分51秒   999    112755  171.00   45.00    0.00    0.00  216.00     0  87568.00      0.00 2719880  161496   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分52秒   999    112755  175.00   39.00    0.00    0.00  214.00     0  81462.00      0.00 2719400  157728   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分53秒   999    112755  168.00   44.00    0.00    0.00  212.00     0  85673.00      0.00 2724648  161668   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分54秒   999    112755  171.00   40.00    0.00    0.00  211.00     0  84336.00      0.00 2715936  156548   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分55秒   999    112755  169.00   40.00    0.00    0.00  209.00     0  82782.00      0.00 2715884  156368   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分56秒   999    112755  162.00   47.00    0.00    0.00  209.00     0  82353.00      0.00 2719292  160192   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分57秒   999    112755  164.00   43.00    0.00    0.00  207.00     0  78569.00      0.00 2723048  156224   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分58秒   999    112755  166.00   39.00    0.00    0.00  205.00     0  82962.00      0.00 2716788  158824   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时18分59秒   999    112755  166.00   45.00    0.00    0.00  211.00     0  83115.00      0.00 2720352  161688   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时19分00秒   999    112755  169.00   44.00    0.00    0.00  213.00     0  77292.00      0.00 2720980  160892   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时19分01秒   999    112755  174.00   37.00    0.00    0.00  211.00     0  78227.00      0.00 2721716  164796   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时19分02秒   999    112755  167.00   40.00    0.00    0.00  207.00     0  73649.00      0.00 2720744  161488   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
