4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets       306869.78          ---          ---         2.60537         2.14300         3.67900         3.88700         4.12700    319408.70 
Gets       306869.23    306869.23         0.00         2.60537         2.14300         3.67900         3.88700         4.12700    317909.73 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     613739.01    306869.23         0.00         2.60537         2.14300         3.67900         3.88700         4.12700    637318.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.343        0.000
SET       1.895        5.000
SET       1.927       10.000
SET       1.959       15.000
SET       1.975       20.000
SET       1.999       25.000
SET       2.023       30.000
SET       2.039       35.000
SET       2.063       40.000
SET       2.095       45.000
SET       2.143       50.000
SET       2.159       52.500
SET       2.223       55.000
SET       2.911       57.500
SET       3.055       60.000
SET       3.119       62.500
SET       3.167       65.000
SET       3.215       67.500
SET       3.247       70.000
SET       3.279       72.500
SET       3.311       75.000
SET       3.327       76.250
SET       3.343       77.500
SET       3.375       78.750
SET       3.391       80.000
SET       3.407       81.250
SET       3.423       82.500
SET       3.439       83.750
SET       3.471       85.000
SET       3.503       86.250
SET       3.519       87.500
SET       3.535       88.125
SET       3.551       88.750
SET       3.567       89.375
SET       3.583       90.000
SET       3.599       90.625
SET       3.599       91.250
SET       3.615       91.875
SET       3.631       92.500
SET       3.647       93.125
SET       3.663       93.750
SET       3.663       94.062
SET       3.663       94.375
SET       3.679       94.688
SET       3.679       95.000
SET       3.695       95.312
SET       3.695       95.625
SET       3.711       95.938
SET       3.711       96.250
SET       3.727       96.562
SET       3.743       96.875
SET       3.743       97.031
SET       3.759       97.188
SET       3.759       97.344
SET       3.759       97.500
SET       3.775       97.656
SET       3.775       97.812
SET       3.791       97.969
SET       3.807       98.125
SET       3.807       98.281
SET       3.823       98.438
SET       3.823       98.516
SET       3.839       98.594
SET       3.839       98.672
SET       3.855       98.750
SET       3.855       98.828
SET       3.871       98.906
SET       3.887       98.984
SET       3.887       99.062
SET       3.903       99.141
SET       3.919       99.219
SET       3.919       99.258
SET       3.935       99.297
SET       3.935       99.336
SET       3.935       99.375
SET       3.951       99.414
SET       3.951       99.453
SET       3.967       99.492
SET       3.967       99.531
SET       3.983       99.570
SET       3.999       99.609
SET       3.999       99.629
SET       3.999       99.648
SET       4.015       99.668
SET       4.015       99.688
SET       4.015       99.707
SET       4.031       99.727
SET       4.031       99.746
SET       4.047       99.766
SET       4.047       99.785
SET       4.063       99.805
SET       4.063       99.814
SET       4.079       99.824
SET       4.079       99.834
SET       4.079       99.844
SET       4.095       99.854
SET       4.095       99.863
SET       4.127       99.873
SET       4.127       99.883
SET       4.127       99.893
SET       4.159       99.902
SET       4.159       99.907
SET       4.159       99.912
SET       4.159       99.917
SET       4.159       99.922
SET       4.191       99.927
SET       4.191       99.932
SET       4.191       99.937
SET       4.223       99.941
SET       4.223       99.946
SET       4.255       99.951
SET       4.255       99.954
SET       4.255       99.956
SET       4.287       99.958
SET       4.287       99.961
SET       4.319       99.963
SET       4.319       99.966
SET       4.351       99.968
SET       4.383       99.971
SET       4.383       99.973
SET       4.415       99.976
SET       4.415       99.977
SET       4.447       99.978
SET       4.447       99.979
SET       4.479       99.980
SET       4.479       99.982
SET       4.511       99.983
SET       4.543       99.984
SET       4.543       99.985
SET       4.575       99.987
SET       4.607       99.988
SET       4.607       99.988
SET       4.607       99.989
SET       4.639       99.990
SET       4.639       99.990
SET       4.671       99.991
SET       4.671       99.991
SET       4.703       99.992
SET       4.735       99.993
SET       4.735       99.993
SET       4.767       99.994
SET       4.767       99.994
SET       4.799       99.995
SET       4.799       99.995
SET       4.831       99.995
SET       4.831       99.995
