id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.000,41102,,,,39550,3685,47065,58418,68701,72403,,,,,
q1-one-fast,2.000,66509,,,,66863,10259,16815,20210,26349,32369,,,,,
q1-one-fast,3.000,69847,,,,69782,10096,16140,18095,21418,23612,,,,,
q1-one-fast,4.000,70123,,,,70291,10602,15951,17424,21220,23070,,,,,
q1-one-fast,5.000,70699,,,,70716,9725,15817,17556,20385,22393,,,,,
q1-one-fast,6.000,71948,,,,71816,10882,15688,17343,19982,20721,,,,,
q1-one-fast,7.000,69685,,,,69864,10193,15744,17575,20619,23020,,,,,
q1-one-fast,8.000,70386,,,,70246,10805,16143,17560,19914,21721,,,,,
q1-one-fast,9.000,70992,,,,71192,9429,15659,17025,19440,21060,,,,,
q1-one-fast,10.000,69651,,,,69620,10419,16306,18326,21197,22962,,,,,
q1-one-fast,11.000,70232,,,,70285,11109,16095,17787,21075,23012,,,,,
q1-one-fast,12.000,71183,,,,70989,9860,15367,17064,21263,23546,,,,,
q1-one-fast,13.000,71042,,,,70880,10777,15625,17227,20057,21953,,,,,
q1-one-fast,14.000,71977,,,,72011,9022,15466,17154,20895,25865,,,,,
q1-one-fast,15.000,70457,,,,70601,10642,15807,17467,19931,21426,,,,,
q1-one-fast,16.000,71004,,,,71225,9360,15163,16525,20143,26514,,,,,
q1-one-fast,17.000,70795,,,,70588,9013,15782,17422,19749,20865,,,,,
q1-one-fast,18.000,70400,,,,70388,9602,15563,16965,19685,21553,,,,,
q1-one-fast,19.000,70380,,,,70243,11244,16248,17955,20540,22461,,,,,
q1-one-fast,20.000,72195,,,,72252,10441,15288,16498,18356,19898,,,,,
q1-one-fast,21.000,69415,,,,69647,10430,16522,18364,21346,25493,,,,,
q1-one-fast,22.000,71477,,,,71086,10386,15763,17354,19961,20894,,,,,
q1-one-fast,23.000,70687,,,,70814,10601,15573,17250,19305,20526,,,,,
q1-one-fast,24.000,69964,,,,69893,11073,16143,17583,20053,22171,,,,,
q1-one-fast,25.000,70821,,,,70846,10408,15633,17109,20333,23216,,,,,
q1-one-fast,26.000,70289,,,,70573,10007,15276,16792,19586,21588,,,,,
q1-one-fast,27.000,70994,,,,70724,10668,15433,16737,19131,20210,,,,,
q1-one-fast,28.000,70375,,,,70620,10840,15749,17362,19764,21018,,,,,
q1-one-fast,29.000,69713,,,,69649,10460,15482,17548,20969,23125,,,,,
q1-one-fast,30.000,68494,,,,68756,10208,15766,17919,20859,22823,,,,,
q1-one-fast,31.000,69563,,,,69004,10081,15786,17627,21227,23621,,,,,
q1-one-fast,32.000,68246,,,,68637,10555,16244,17937,21451,23813,,,,,
q1-one-fast,33.000,70990,,,,71110,10376,15354,16626,19140,20435,,,,,
q1-one-fast,34.000,70929,,,,70666,9724,15596,16876,19088,20724,,,,,
q1-one-fast,35.000,71041,,,,70794,10648,15786,17334,19615,21253,,,,,
q1-one-fast,36.000,70577,,,,70708,10289,15267,16901,19038,20285,,,,,
q1-one-fast,37.000,68817,,,,69199,10716,15815,17602,21148,23090,,,,,
q1-one-fast,38.000,69606,,,,69280,9472,15328,17107,20184,22622,,,,,
q1-one-fast,39.000,69068,,,,69097,11455,16203,17813,22965,25481,,,,,
q1-one-fast,40.000,70806,,,,71064,10469,15306,16464,18096,19665,,,,,
q1-one-fast,41.000,70075,,,,69989,10007,16030,17494,19638,21748,,,,,
q1-one-fast,42.000,69420,,,,69360,9954,15418,17120,20921,26607,,,,,
q1-one-fast,43.000,68834,,,,68864,10397,15856,17767,21172,22762,,,,,
q1-one-fast,44.000,71167,,,,71074,9657,15431,16847,18999,21667,,,,,
q1-one-fast,45.000,69361,,,,69398,11609,16327,18094,22242,26410,,,,,
q1-one-fast,46.000,71370,,,,71134,11034,15345,16734,19700,23004,,,,,
q1-one-fast,47.000,69556,,,,69810,9247,15799,17545,21343,24441,,,,,
q1-one-fast,48.000,70807,,,,70924,10584,15004,16295,18767,20400,,,,,
q1-one-fast,49.000,70677,,,,70428,11108,15569,17612,20332,22329,,,,,
q1-one-fast,50.000,68742,,,,68654,10675,16117,17798,21836,23167,,,,,
q1-one-fast,51.000,69743,,,,70031,10399,15832,17265,19496,22249,,,,,
q1-one-fast,52.000,70304,,,,70016,10073,15408,16694,19682,22501,,,,,
q1-one-fast,53.000,70243,,,,70479,10396,15384,16901,19685,24499,,,,,
q1-one-fast,54.000,69411,,,,69172,10587,15494,17227,20884,22234,,,,,
q1-one-fast,55.000,69050,,,,69441,9160,15880,17547,20413,22886,,,,,
q1-one-fast,56.000,70301,,,,69931,10390,15228,16507,19224,21373,,,,,
q1-one-fast,57.000,71500,,,,71694,9319,15155,16265,18505,26305,,,,,
q1-one-fast,58.000,71114,,,,70928,10673,15150,16212,18202,19721,,,,,
q1-one-fast,59.000,69556,,,,69741,11270,15822,17262,20739,23126,,,,,
q1-one-fast,60.000,71196,,,,71273,10511,14789,15898,18483,20039,,,,,
q1-one-fast,61.000,69904,,,,69906,9925,15522,17642,21506,23550,,,,,
q1-one-fast,62.000,71026,,,,70966,10776,15819,17553,20429,22268,,,,,
q1-one-fast,63.000,71955,,,,71839,8855,15027,16519,18853,22655,,,,,
q1-one-fast,64.000,70373,,,,70438,11094,15529,17112,20565,22573,,,,,
q1-one-fast,65.000,68919,,,,68951,11143,16171,18101,21352,25262,,,,,
q1-one-fast,66.000,71135,,,,71296,10217,14609,15928,18251,20973,,,,,
q1-one-fast,67.000,70749,,,,70576,9983,15312,16707,19741,20970,,,,,
q1-one-fast,68.000,69910,,,,69953,10622,15657,17164,19722,21102,,,,,
q1-one-fast,69.000,70077,,,,70003,10211,15159,16981,19797,22257,,,,,
q1-one-fast,70.000,71119,,,,71103,10750,15352,16722,18777,20439,,,,,
q1-one-fast,71.000,70398,,,,70238,10770,15417,16949,20176,23471,,,,,
