id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.001,48997,,45058,0,37963,350,88671,136035,284653,388297,510,48755,71923,144057,200241
q2-reliable,2.000,50987,,51079,0,49122,18296,168659,252054,565613,688191,3476,65482,96946,153094,182411
q2-reliable,3.000,57151,,57078,0,45678,5571,191408,449348,891094,997974,10611,60424,83441,138110,210216
q2-reliable,4.000,52639,,52563,0,50505,2556,450739,627737,1129675,1225868,6809,59215,97228,158374,198161
q2-reliable,5.000,56068,,56068,0,46643,7613,361860,629163,1400384,1649425,7434,63763,89371,148126,175271
q2-reliable,6.000,53433,,53433,0,48663,6901,489084,960748,1917192,2025833,6932,67095,98237,149648,170944
q2-reliable,7.000,56378,,56378,0,46783,5268,662539,1222123,2145114,2219173,5634,62166,87470,117215,152703
q2-reliable,8.000,49936,,50404,0,53831,20330,842385,1236042,2410009,2540307,4801,69946,99547,153871,223323
q2-reliable,9.000,52158,,51691,0,50349,11849,521932,1294367,2534902,2630638,5652,59997,100058,165647,189857
q2-reliable,10.000,49090,,49728,0,53423,5340,993163,1391472,2536368,2601907,11924,67537,99241,171384,221098
q2-reliable,11.000,55776,,55462,0,47848,169795,951822,1161297,2408153,2467072,2285,62651,99569,135703,181756
q2-reliable,12.000,55356,,55032,0,45642,171198,950151,1104775,2467002,2546129,8187,60887,83661,138846,218833
q2-reliable,13.000,56318,,56318,0,45691,331147,1175329,1455684,2703039,2751164,7478,60564,96822,138164,170092
q2-reliable,14.000,48631,,49024,0,54927,404416,1125808,1282826,2906048,2992206,6615,63961,110596,176953,217524
q2-reliable,15.000,51023,,50982,0,51924,535112,1009899,1404426,3013454,3050045,6287,63975,98159,163304,238819
q2-reliable,16.000,53013,,52794,0,50354,355855,942430,1701737,3111804,3147982,12121,62036,102709,176435,205726
q2-reliable,17.000,52708,,52793,0,48188,287807,1058077,1642615,3122365,3173790,6607,66633,101885,149768,184885
q2-reliable,18.000,52530,,52898,0,48057,347915,1320601,1766693,3102162,3147046,4393,71722,95856,134132,152172
q2-reliable,19.000,55427,,55267,0,46551,357306,1214954,1670099,2872722,3068190,4954,58307,90476,164151,180152
q2-reliable,20.000,54242,,53864,0,47365,473114,1547138,2541086,2881210,2935985,4284,61896,96994,161338,212452
q2-reliable,21.000,52421,,52376,0,50732,612397,1599257,2150897,2925669,2971062,6547,57931,95088,164785,183648
q2-reliable,22.000,52810,,52806,0,51961,689752,1630554,2357831,2914242,2968882,4857,67679,94849,140608,192827
q2-reliable,23.000,55859,,55859,0,45461,963084,1541937,2440438,3030199,3177256,2666,55434,86623,154128,183402
q2-reliable,24.000,49981,,50040,0,49585,1106241,1693479,2537636,3279663,3306112,5526,69226,97839,154368,183429
q2-reliable,25.000,50779,,50720,0,52365,1184374,1942574,2571064,3289751,3340576,7349,71237,103161,164344,201532
q2-reliable,26.000,52624,,53295,0,50822,952655,1969273,2416347,3401869,3437321,9675,62750,87357,175639,226046
q2-reliable,27.000,50684,,50082,0,51684,928643,1910274,2525823,3514495,3545679,6747,65722,95656,148569,187961
q2-reliable,28.000,52614,,53022,0,47951,1027138,1892261,2651710,3506862,3566710,7647,65245,98434,147577,191449
q2-reliable,29.000,53076,,52823,0,48730,1207445,1698063,2634367,3602479,3644193,6553,67673,95501,144246,200620
q2-reliable,30.000,50382,,50529,0,51762,1198722,1701774,2755268,3586573,3626330,11159,63092,101544,158471,223816
q2-reliable,31.000,57793,,57477,0,44789,1157662,2266838,2718600,3724315,3775164,4263,61711,88287,134264,194043
q2-reliable,32.000,49043,,49099,0,52446,1358557,2454428,3239487,3720098,3770812,4147,67051,107699,157283,182633
q2-reliable,33.000,53433,,53361,0,49821,1001531,2159840,2660465,3720043,3771869,4229,60857,86980,144094,211185
q2-reliable,34.000,49185,,49147,0,50826,996450,2335927,3359488,3772835,3841523,5543,67277,109394,160797,189769
q2-reliable,35.000,50970,,50970,0,49505,1029456,2264725,2786434,3883174,3927740,7472,71589,100497,150201,214365
q2-reliable,36.000,51627,,51627,0,47330,1197894,2417948,2934042,3771361,3827568,6018,60154,92431,152441,217889
q2-reliable,37.000,54803,,54803,0,48056,1216985,2468147,2902488,3849042,3894719,5494,64685,87219,158641,214385
q2-reliable,38.000,51276,,51331,0,51363,1293961,2533453,3522718,4016602,4050829,9054,62998,108782,167510,195114
q2-reliable,39.000,50580,,50545,0,50161,1368881,2431323,3398797,4036535,4091519,5889,57945,97360,167439,210943
q2-reliable,40.000,55598,,55578,0,45772,1457888,2455151,3555507,4288921,4393944,3080,56232,81991,164185,216312
q2-reliable,41.000,57628,,57990,0,45576,1510836,2307982,3561092,4541144,4734848,3326,56287,84148,139861,172571
q2-reliable,42.000,52941,,52585,0,49139,1567757,2987787,3579087,4909849,4964626,5095,60216,90116,167555,212976
q2-reliable,43.000,50226,,50220,0,50752,1534621,3073711,3403348,4872144,4970755,4274,66729,109486,155097,220746
q2-reliable,44.000,52009,,52009,0,50103,1271121,2940339,3671746,5093837,5187224,4550,59931,95092,164487,185697
q2-reliable,45.000,58011,,58043,0,46999,1266862,3123183,3954041,5450711,5493008,6501,58537,83298,164826,199366
q2-reliable,46.000,52113,,52094,0,50497,1444493,3197585,3987356,5443500,5522106,7621,64831,104484,154674,191102
q2-reliable,47.000,50937,,50924,0,49981,1737703,3145464,4138700,5539658,5593187,4005,64535,98221,150429,185723
q2-reliable,48.000,49300,,49514,0,52957,1719413,3439243,4231707,5385011,5455851,5151,67714,108456,173374,229440
q2-reliable,49.000,51958,,51744,0,51365,1682536,3432966,4155652,5292477,5344520,10507,67422,102659,160729,236130
q2-reliable,50.000,54360,,54436,0,49271,1628953,3508798,4188725,5063341,5164524,1659,64772,97552,147980,178459
q2-reliable,51.000,50362,,50286,0,52205,1752127,3733493,4120232,5322652,5396151,4706,57981,93502,191195,241672
