Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分21秒   999    100470    5.00    2.00    0.00    0.00    7.00     1    256.00      0.00 2669368  119328   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分22秒   999    100470  259.00   89.00    0.00    0.00  348.00     1  41649.00      0.00 2715856  152924   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分23秒   999    100470  262.00  109.00    0.00    0.00  371.00     1  18657.00      0.00 2715880  152392   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分24秒   999    100470  250.00  116.00    0.00    0.00  366.00     1   7170.00      0.00 2715816  152368   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分25秒   999    100470  258.00  114.00    0.00    0.00  372.00     1   4601.00      0.00 2716552  153112   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分26秒   999    100470  253.00  114.00    0.00    0.00  367.00     1   2997.00      0.00 2715960  153736   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分27秒   999    100470  261.00  106.00    0.00    0.00  367.00     1   1867.00      0.00 2715084  153336   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分28秒   999    100470  270.00  101.00    0.00    0.00  371.00     1   1401.00      0.00 2716380  154324   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分29秒   999    100470  272.00   98.00    0.00    0.00  370.00     1   1373.00      0.00 2715356  152740   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分30秒   999    100470  261.00  109.00    0.00    0.00  370.00     1   1714.00      0.00 2716380  154396   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分31秒   999    100470  262.00  104.00    0.00    0.00  366.00     1   1254.00      0.00 2715356  153040   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分32秒   999    100470  256.00  110.00    0.00    0.00  366.00     1   1636.00      0.00 2715724  153648   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分33秒   999    100470  256.00  112.00    0.00    0.00  368.00     1    776.00      0.00 2715724  153892   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分34秒   999    100470  259.00  107.00    0.00    0.00  366.00     1    825.00      0.00 2716236  153804   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分35秒   999    100470  261.00  107.00    0.00    0.00  368.00     1    608.00      0.00 2715212  153728   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分36秒   999    100470  251.00  112.00    0.00    0.00  363.00     1    716.00      0.00 2715724  154108   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时14分37秒   999    100470  252.00  109.00    0.00    0.00  361.00     1    898.00      0.00 2716748  154580   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
