Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分33秒   999    102426   25.00    9.00    0.00    0.00   34.00     0   1505.00      0.00 2679940  123132   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分34秒   999    102426  257.00   79.00    0.00    0.00  336.00     0  47739.00      0.00 2718160  154448   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分35秒   999    102426  260.00  111.00    0.00    0.00  371.00     0  14086.00      0.00 2715988  152604   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分36秒   999    102426  254.00  117.00    0.00    0.00  371.00     0   6257.00      0.00 2716116  151940   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分37秒   999    102426  262.00  114.00    0.00    0.00  376.00     0   5529.00      0.00 2717216  152760   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分38秒   999    102426  264.00  105.00    0.00    0.00  369.00     0   4189.00      0.00 2716468  152360   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分39秒   999    102426  252.00  114.00    0.00    0.00  366.00     0   2310.00      0.00 2715444  152928   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分40秒   999    102426  257.00  108.00    0.00    0.00  365.00     0   2189.00      0.00 2715956  153132   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分41秒   999    102426  254.00  107.00    0.00    0.00  361.00     0   1995.00      0.00 2716468  152956   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分42秒   999    102426  251.00  105.00    0.00    0.00  356.00     0   2269.00      0.00 2713940  151116   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分43秒   999    102426  248.00  114.00    0.00    0.00  362.00     0   2509.00      0.00 2715236  152356   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分44秒   999    102426  256.00  106.00    0.00    0.00  362.00     0   1916.00      0.00 2713700  151492   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分45秒   999    102426  238.00  120.00    0.00    0.00  358.00     0   1275.00      0.00 2714724  152160   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分46秒   999    102426  245.00  112.00    0.00    0.00  357.00     0   1397.00      0.00 2714724  152224   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分47秒   999    102426  256.00  103.00    0.00    0.00  359.00     0   1414.00      0.00 2715236  152484   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分48秒   999    102426  257.00  105.00    0.00    0.00  362.00     0   1599.00      0.00 2715092  152644   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11时22分49秒   999    102426  263.00   97.00    0.00    0.00  360.00     0   1135.00      0.00 2715092  152964   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
