Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分09秒   999    123298    2.00    1.00    0.00    0.00    3.00     3     26.00      0.00 2670040  118252   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分10秒   999    123298   64.00   18.00    0.00    0.00   82.00     3    103.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分11秒   999    123298   46.00   10.00    0.00    0.00   56.00     3      0.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分12秒   999    123298   45.00   10.00    0.00    0.00   55.00     3      0.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分13秒   999    123298   41.00   15.00    0.00    0.00   56.00     3      1.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分14秒   999    123298   45.00    9.00    0.00    0.00   54.00     3     15.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分15秒   999    123298   43.00   11.00    0.00    0.00   54.00     3      0.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分16秒   999    123298   42.00   11.00    0.00    0.00   53.00     3     10.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分17秒   999    123298   45.00   10.00    0.00    0.00   55.00     3     10.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分18秒   999    123298   42.00   11.00    0.00    0.00   53.00     3     22.00      0.00 2669600  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分19秒   999    123298   44.00   11.00    0.00    0.00   55.00     3     21.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分20秒   999    123298   46.00    7.00    0.00    0.00   53.00     3      2.00      0.00 2669088  118112   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分21秒   999    123298   42.00   12.00    0.00    0.00   54.00     3      4.00      0.00 2669088  118240   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分22秒   999    123298   45.00    8.00    0.00    0.00   53.00     3      2.00      0.00 2669088  118240   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分23秒   999    123298   42.00   13.00    0.00    0.00   55.00     3      1.00      0.00 2669088  118240   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分24秒   999    123298   43.00   11.00    0.00    0.00   54.00     3    103.00      0.00 2669600  118108   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时28分25秒   999    123298   42.00   12.00    0.00    0.00   54.00     3      0.00      0.00 2669600  118108   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
