Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分21秒   999    129881   22.00    8.00    0.00    0.00   30.00     2     49.00      0.00 2671436  118068   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分22秒   999    129881   50.00   13.00    0.00    0.00   63.00     2     37.00      0.00 2671436  118068   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分23秒   999    129881   41.00   13.00    0.00    0.00   54.00     2      7.00      0.00 2670924  118068   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分24秒   999    129881   41.00   12.00    0.00    0.00   53.00     2     82.00      0.00 2671436  118088   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分25秒   999    129881   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2670924  118088   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分26秒   999    129881   43.00   11.00    0.00    0.00   54.00     2    109.00      0.00 2671180  118344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分27秒   999    129881   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2671180  118344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分28秒   999    129881   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2671180  118344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分29秒   999    129881   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2671180  118344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分30秒   999    129881   38.00   16.00    0.00    0.00   54.00     2      0.00      0.00 2671180  118344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分31秒   999    129881   42.00   12.00    0.00    0.00   54.00     2     68.00      0.00 2671692  118472   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分32秒   999    129881   40.00   13.00    0.00    0.00   53.00     2     41.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分33秒   999    129881   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分34秒   999    129881   40.00   14.00    0.00    0.00   54.00     2      0.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分35秒   999    129881   36.00   18.00    0.00    0.00   54.00     2      0.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分36秒   999    129881   43.00   11.00    0.00    0.00   54.00     2      4.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12时36分37秒   999    129881   41.00   12.00    0.00    0.00   53.00     2      0.00      0.00 2671692  118600   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
