id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32468,,31969,0,31481,262,12909,18671,25280,46615,92,1783,5599,10468,12807
warmup,2.000,58057,,58086,0,58679,1803,8491,13542,28383,33617,857,7033,8085,12345,16249
warmup,3.006,65997,,66012,0,65929,2718,5260,6136,7627,10168,1519,7236,7885,8892,10660
warmup,4.000,65991,,65962,0,66051,2360,5141,6013,7758,8741,1050,7307,7921,8834,9458
warmup,5.000,66465,,66449,0,66525,1253,5138,6080,7676,8419,1089,7203,7882,8861,9825
warmup,6.000,67079,,67080,0,67100,2376,5002,5637,6750,7599,4107,7223,7844,8735,9463
warmup,7.000,66744,,66747,0,66763,2496,5016,5652,6988,8487,2189,7230,7968,8870,9452
warmup,8.000,66612,,66647,0,66556,3079,5071,5830,7991,10966,2843,7149,7773,8568,9429
warmup,9.000,65746,,65730,0,65730,2783,4977,5643,6808,7948,594,7361,8015,8840,9396
warmup,10.000,65825,,65807,0,65843,2228,5009,5586,6711,7975,504,7382,7957,8891,9880
warmup,11.000,66456,,66451,0,66506,1780,5134,5890,7140,8184,538,7267,7936,8820,9430
warmup,12.000,66414,,66414,0,66430,2295,4977,5653,6735,7404,1541,7298,7994,8942,9775
warmup,13.000,65936,,65951,0,65815,2022,5119,5773,6954,7565,3424,7409,8019,8842,9448
warmup,14.000,66716,,66702,0,66810,2478,5135,6015,7556,8392,1702,7160,7824,8771,9557
warmup,15.000,66079,,66078,0,66085,2933,5012,5876,8201,9478,3539,7253,8022,8931,9653
warmup,16.000,66897,,66902,0,66784,2317,4977,5805,6929,8132,2920,7257,7893,8844,9859
warmup,17.000,66373,,66368,0,66387,2999,4829,5454,6506,7348,3900,7284,7822,8705,9176
warmup,18.000,65795,,65806,0,65854,2659,5205,6114,7732,8465,3525,7327,8052,8991,9805
warmup,19.000,65199,,65233,0,65157,2410,4826,5364,6213,7113,2471,7441,8133,9114,9663
warmup,20.000,65273,,65302,0,65438,2398,5019,5661,6757,7282,3878,7390,8059,9138,9775
warmup,21.000,66168,,66094,0,66062,2029,4869,5559,6538,7057,4203,7315,7952,8875,9555
warmup,22.000,66727,,66753,0,66755,2212,4760,5377,6405,7148,2786,7202,7791,8748,9239
warmup,23.000,64904,,64947,0,64848,3065,5161,6073,7512,8044,3329,7432,8192,9081,9834
warmup,24.000,66513,,66459,0,66540,3146,5114,5771,6915,7697,3435,7201,7916,9066,9633
warmup,25.000,62972,,63001,0,62953,2508,4924,5538,6611,7613,4175,7723,8381,9297,9899
warmup,26.000,63669,,63627,0,63742,2529,5179,6030,7907,9184,3021,7491,8286,9507,11191
warmup,27.000,65195,,65193,0,65158,2658,5052,5623,6869,7521,3666,7455,8126,9214,9795
warmup,28.000,64689,,64797,0,64709,2296,4935,5649,6644,7356,2068,7520,8216,9180,9686
warmup,29.000,64545,,64477,0,64454,2500,4966,5638,7394,8280,4283,7472,8226,9262,9968
warmup,30.000,64281,,64243,0,64371,2903,4987,5594,6486,7346,4037,7594,8257,9422,10157
warmup,31.000,64223,,64221,0,64123,1606,4989,5881,7385,8653,556,7445,8312,9327,9945
warmup,32.000,63075,,63075,0,63058,2013,4914,5533,6847,8177,744,7681,8444,9415,10269
warmup,33.000,65905,,65908,0,65912,2217,5015,5632,6779,7769,2499,7277,7972,9005,9492
warmup,34.000,64767,,64832,0,64832,2543,4910,5536,6631,7808,2901,7410,8158,9366,10116
warmup,35.000,65428,,65362,0,65409,2134,5117,5923,7524,9095,2386,7385,8126,8990,9662
warmup,36.000,65200,,65201,0,65222,2426,4849,5610,6788,7300,4005,7505,8196,9048,9624
warmup,37.000,66318,,66315,0,66281,2080,4860,5514,6464,7343,2799,7271,7943,8773,9271
warmup,38.000,65016,,65041,0,65107,2558,4944,5554,6668,7608,3416,7496,8102,9002,9602
warmup,39.000,65084,,65166,0,64948,2429,4856,5369,6525,7318,3510,7454,8137,9011,9636
warmup,40.000,65230,,65132,0,65127,2249,5101,5821,7030,7906,3705,7401,8116,9184,10072
warmup,41.000,65936,,65927,0,66050,2634,5143,5814,7224,8096,1309,7321,7959,8972,9895
warmup,42.000,66490,,66507,0,66524,2309,5009,5753,7147,8130,3065,7257,7876,8975,9537
warmup,43.000,65627,,65610,0,65652,2766,5004,5605,6676,7416,3274,7406,8090,9035,9847
warmup,44.000,66574,,66577,0,66656,2498,5066,5708,6834,7459,2884,7226,7918,8880,9597
warmup,45.000,66129,,66144,0,66087,2191,4877,5441,6247,7302,2992,7236,7908,8803,9427
warmup,46.000,65577,,65579,0,65625,2661,4903,5514,6735,7543,3597,7368,7984,8888,9352
warmup,47.000,66263,,66243,0,66064,2629,5067,5782,6877,8215,2969,7373,7988,8878,9676
warmup,48.000,65900,,65926,0,65839,2432,5098,5776,6908,7384,3442,7314,7928,8727,9459
warmup,49.000,65120,,65123,0,65334,2326,5121,5897,7363,8162,2738,7353,8030,9075,9660
warmup,50.000,65296,,65352,0,65269,3082,5045,6001,8869,10855,3027,7436,8179,9200,9838
warmup,51.000,64922,,64845,0,64888,2952,5074,5751,7010,8504,2470,7443,8105,9136,9827
warmup,52.000,63839,,63908,0,63985,2637,4920,5615,7205,8456,4662,7625,8283,9311,9937
warmup,53.000,65874,,65804,0,65616,2649,4793,5530,6965,7844,3416,7400,8094,8981,9571
warmup,54.000,65115,,65332,0,65391,2302,4818,5421,6569,7552,3310,7435,8111,9082,9935
warmup,55.000,65367,,65143,0,65193,2891,5099,5832,7641,9194,3782,7434,8118,9182,10029
warmup,56.000,65199,,65209,0,65262,2550,4837,5481,6429,7195,4099,7482,8148,9064,9715
warmup,57.000,64238,,64228,0,64209,2875,4869,5477,6637,7442,4140,7618,8322,9367,9874
warmup,58.000,65443,,65443,0,65439,3034,4962,5614,6926,8107,2555,7392,8105,8935,9653
warmup,59.000,64756,,64756,0,64724,2562,4961,5591,6683,8564,3645,7535,8257,9246,10159
warmup,60.000,64354,,64355,0,64132,2656,5206,6177,7971,9028,4525,7535,8296,9227,9886
