Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分24秒   999    139148   59.00   10.00    0.00    0.00   69.00     1    110.00      0.00 2672268  122128   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分25秒   999    139148  177.00   37.00    0.00    0.00  214.00     1  60390.00      0.00 2709764  149260   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分26秒   999    139148  176.00   41.00    0.00    0.00  217.00     1  89104.00      0.00 2726108  162292   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分27秒   999    139148  184.00   33.00    0.00    0.00  217.00     1  88965.00      0.00 2726732  160368   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分28秒   999    139148  180.00   36.00    0.00    0.00  216.00     1  87946.00      0.00 2722060  162768   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分29秒   999    139148  183.00   35.00    0.00    0.00  218.00     1  83829.00      0.00 2724508  162492   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分30秒   999    139148  178.00   35.00    0.00    0.00  213.00     1  79277.00      0.00 2718308  158560   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分31秒   999    139148  175.00   38.00    0.00    0.00  213.00     1  82381.00      0.00 2728460  159020   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分32秒   999    139148  181.00   37.00    0.00    0.00  218.00     1  85761.00      0.00 2720584  157364   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分33秒   999    139148  179.00   37.00    0.00    0.00  216.00     1  89074.00      0.00 2722560  159144   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分34秒   999    139148  180.00   34.00    0.00    0.00  214.00     1  82268.00      0.00 2721040  157668   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分35秒   999    139148  174.00   42.00    0.00    0.00  216.00     1  82335.00      0.00 2724324  162088   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分36秒   999    139148  175.00   37.00    0.00    0.00  212.00     1  80818.00      0.00 2725932  160088   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分37秒   999    139148  172.00   41.00    0.00    0.00  213.00     1  75198.00      0.00 2720284  158536   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分38秒   999    139148  176.00   37.00    0.00    0.00  213.00     1  79889.00      0.00 2727936  163572   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分39秒   999    139148  178.00   39.00    0.00    0.00  217.00     1  85121.00      0.00 2723620  163732   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时06分40秒   999    139148  158.00   30.00    0.00    0.00  188.00     1  68702.00      0.00 2723056  157528   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
