4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46959.23          ---          ---         0.83375         0.84700         0.99100         1.71100         2.02300     97813.63 
Gets        46959.07     35108.89     11850.18         0.82939         0.83900         0.97500         1.70300         2.02300     59067.06 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93918.30     35108.89     11850.18         0.83157         0.84700         0.98300         1.70300         2.02300    156880.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.471        5.000
SET       0.719       10.000
SET       0.783       15.000
SET       0.799       20.000
SET       0.807       25.000
SET       0.815       30.000
SET       0.823       35.000
SET       0.831       40.000
SET       0.839       45.000
SET       0.847       50.000
SET       0.847       52.500
SET       0.847       55.000
SET       0.855       57.500
SET       0.855       60.000
SET       0.863       62.500
SET       0.863       65.000
SET       0.871       67.500
SET       0.871       70.000
SET       0.879       72.500
SET       0.879       75.000
SET       0.887       76.250
SET       0.887       77.500
SET       0.887       78.750
SET       0.895       80.000
SET       0.895       81.250
SET       0.903       82.500
SET       0.903       83.750
SET       0.911       85.000
SET       0.911       86.250
SET       0.919       87.500
SET       0.919       88.125
SET       0.919       88.750
SET       0.927       89.375
SET       0.927       90.000
SET       0.935       90.625
SET       0.935       91.250
SET       0.943       91.875
SET       0.943       92.500
SET       0.951       93.125
SET       0.959       93.750
SET       0.967       94.062
SET       0.975       94.375
SET       0.983       94.688
SET       0.991       95.000
SET       1.015       95.312
SET       1.047       95.625
SET       1.095       95.938
SET       1.151       96.250
SET       1.191       96.562
SET       1.239       96.875
SET       1.263       97.031
SET       1.287       97.188
SET       1.327       97.344
SET       1.391       97.500
SET       1.519       97.656
SET       1.575       97.812
SET       1.599       97.969
SET       1.623       98.125
SET       1.639       98.281
SET       1.655       98.438
SET       1.663       98.516
SET       1.671       98.594
SET       1.679       98.672
SET       1.687       98.750
SET       1.695       98.828
SET       1.703       98.906
SET       1.711       98.984
SET       1.719       99.062
SET       1.727       99.141
SET       1.735       99.219
SET       1.735       99.258
SET       1.743       99.297
SET       1.751       99.336
SET       1.751       99.375
SET       1.759       99.414
SET       1.767       99.453
SET       1.775       99.492
SET       1.783       99.531
SET       1.791       99.570
SET       1.799       99.609
SET       1.799       99.629
SET       1.807       99.648
SET       1.815       99.668
SET       1.815       99.688
SET       1.823       99.707
SET       1.831       99.727
SET       1.839       99.746
SET       1.847       99.766
SET       1.855       99.785
SET       1.871       99.805
SET       1.879       99.814
SET       1.895       99.824
SET       1.911       99.834
SET       1.943       99.844
SET       1.967       99.854
SET       1.983       99.863
SET       1.999       99.873
SET       2.007       99.883
SET       2.023       99.893
SET       2.031       99.902
SET       2.031       99.907
SET       2.031       99.912
SET       2.039       99.917
SET       2.047       99.922
SET       2.047       99.927
SET       2.063       99.932
SET       2.063       99.937
SET       2.063       99.941
SET       2.079       99.946
SET       2.079       99.951
SET       2.095       99.954
SET       2.095       99.956
SET       2.095       99.958
SET       2.095       99.961
SET       2.111       99.963
SET       2.111       99.966
SET       2.127       99.968
SET       2.127       99.971
SET       2.127       99.973
SET       2.143       99.976
SET       2.159       99.977
SET       2.191       99.978
SET       2.207       99.979
SET       2.303       99.980
SET       2.367       99.982
SET       2.399       99.983
SET       2.431       99.984
SET       2.463       99.985
SET       2.511       99.987
SET       2.559       99.988
SET       2.623       99.988
SET       2.703       99.989
SET       2.767       99.990
SET       2.815       99.990
SET       2.847       99.991
SET       2.863       99.991
SET       2.879       99.992
SET       2.895       99.993
SET       2.911       99.993
SET       2.927       99.994
SET       2.943       99.994
SET       2.943       99.995
SET       2.959       99.995
SET       2.975       99.995
SET       2.991       99.995
SET       3.023       99.996
SET       3.055       99.996
SET       3.263       99.996
SET       3.471       99.997
SET       4.159       99.997
SET       4.287       99.997
SET       4.671       99.997
SET       4.703       99.997
SET       4.799       99.998
SET       4.831       99.998
SET       4.895       99.998
SET       4.927       99.998
SET       4.927       99.998
SET       4.959       99.998
SET       5.279       99.998
SET       5.407       99.999
SET       5.471       99.999
SET       5.567       99.999
SET       5.599       99.999
SET       5.695       99.999
SET       5.823       99.999
SET       6.495       99.999
SET       6.591       99.999
SET       6.655       99.999
SET       6.719       99.999
SET       7.199       99.999
SET      14.527       99.999
SET      14.591       99.999
SET      14.655       99.999
SET      14.655       99.999
SET      14.655       99.999
SET      14.719      100.000
SET      14.719      100.000
SET      14.719      100.000
SET      14.719      100.000
SET      14.911      100.000
SET      14.975      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.383      100.000
SET      48.639      100.000
SET      48.639      100.000
SET      48.639      100.000
