id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34668,,34217,0,33763,264,6656,14743,19891,53618,105,2030,4570,9084,11724
warmup,2.000,62139,,62090,0,62698,962,5453,7434,13150,35430,161,6843,7702,9020,12472
warmup,3.000,66901,,66901,0,66939,2180,4845,5515,6809,8721,434,7121,7799,8669,9458
warmup,4.000,67045,,67058,0,67059,2069,4664,5194,5975,6874,376,7286,7886,8592,9156
warmup,5.000,65421,,65408,0,65273,237,5047,5694,7060,8068,425,7405,8068,8949,9602
warmup,6.000,64668,,64682,0,64824,2160,5125,5848,7380,8157,3006,7505,8186,9125,9845
warmup,7.000,65532,,65518,0,65492,2179,5055,5872,7445,9105,828,7333,8197,9232,10113
warmup,8.000,65852,,65852,0,65832,2934,5100,5774,7198,8253,3478,7395,8066,8963,9787
warmup,9.000,66239,,66239,0,66191,2162,4962,5590,6900,7591,3191,7378,8035,8924,9579
warmup,10.000,65580,,65607,0,65709,2438,4997,5837,7083,7979,4004,7442,8123,9032,9712
warmup,11.000,65822,,65806,0,65688,1774,4874,5463,6527,8047,3183,7384,8020,8893,9415
warmup,12.000,65415,,65481,0,65573,2347,4938,5627,6756,7574,2970,7506,8058,9053,9752
warmup,13.000,65094,,65017,0,65028,2314,5080,5886,7350,8748,3027,7516,8231,9153,9766
warmup,14.000,65180,,65313,0,65330,2582,5036,5916,7515,8588,3186,7472,8102,9031,9600
warmup,15.000,64415,,64282,0,64321,2616,5171,5895,7077,7981,3415,7553,8233,9341,9927
warmup,16.000,64423,,64439,0,64274,518,5126,5650,6646,7656,2708,7616,8223,9304,10297
warmup,17.000,64014,,63999,0,64051,2894,5213,6038,7778,8522,3503,7604,8308,9187,10148
warmup,18.000,65051,,65050,0,65159,2498,5306,6084,7298,8109,3742,7468,8184,9228,10132
warmup,19.000,64266,,64351,0,63998,2743,5231,6111,7628,8749,2855,7536,8294,9372,10220
warmup,20.000,62601,,62516,0,62823,2537,5144,5933,7294,7976,3385,7744,8441,9636,10244
warmup,21.000,62952,,62973,0,62951,2702,5023,5790,7555,8829,3848,7775,8455,9587,10429
warmup,22.000,61593,,61572,0,61485,2885,5076,5831,7309,8311,3903,7967,8717,9712,10312
warmup,23.000,62336,,62336,0,62456,2783,5024,5614,6788,7465,4433,7794,8535,9577,10277
warmup,24.000,60915,,60917,0,60936,2754,5124,5726,6907,7979,4012,8038,8855,9799,10386
warmup,25.000,64420,,64418,0,64182,2413,5179,5840,6933,8060,2942,7573,8348,9430,9948
warmup,26.000,61757,,61758,0,61982,2923,5328,6174,7747,8892,4097,7821,8709,9917,10687
warmup,27.000,61868,,61867,0,61829,2495,5126,5715,6731,7466,3484,7899,8714,9666,10302
warmup,28.000,64735,,64736,0,64745,2329,5352,6139,7464,8038,3824,7504,8194,9199,10158
warmup,29.000,61781,,61789,0,61697,2593,5066,5734,7017,7646,3840,7986,8753,9646,10182
warmup,30.000,62268,,62274,0,62231,2773,4979,5664,6893,7930,4535,7823,8711,9681,10159
warmup,31.000,62526,,62516,0,62593,2677,5108,5674,6891,7750,3021,7721,8528,9433,10087
warmup,32.000,62342,,62365,0,62442,2418,5207,5978,7222,8043,2639,7648,8436,9634,10367
warmup,33.000,63254,,63226,0,63143,2274,5081,5767,7091,8581,3574,7641,8450,9658,10278
warmup,34.000,64490,,64490,0,64416,2815,5477,6428,7751,8562,2164,7560,8352,9144,9724
warmup,35.000,63581,,63582,0,63644,2143,5279,6094,7730,9081,3088,7706,8399,9459,10034
warmup,36.000,63440,,63444,0,63509,2748,5134,5665,6569,7518,4228,7640,8299,9415,10180
warmup,37.000,63594,,63589,0,63633,2568,5230,6027,7189,8004,4428,7702,8375,9352,9967
warmup,38.000,64540,,64540,0,64380,2908,5068,5745,7025,7962,3344,7537,8149,9475,10250
warmup,39.000,64350,,64353,0,64310,2811,5276,5964,7194,8328,4202,7505,8250,9462,10052
warmup,40.000,65299,,65325,0,65422,2544,5086,5796,7244,7997,2817,7468,8200,9010,9702
warmup,41.000,65023,,64994,0,64815,2680,5003,5756,7443,8464,2601,7543,8241,9202,10085
warmup,42.000,65037,,65037,0,65325,1741,5072,5779,7466,8392,3060,7453,8138,9156,9924
warmup,43.000,65167,,65168,0,65096,2271,4919,5386,6321,6843,3959,7448,8056,8972,9649
warmup,44.000,64658,,64659,0,64712,590,5076,5741,6929,8383,1727,7587,8130,9165,9746
warmup,45.000,65316,,65314,0,65339,3114,5119,5776,6983,7944,4023,7426,8125,9008,9630
warmup,46.000,64003,,64003,0,64048,2602,5139,5926,7446,8702,3897,7628,8186,9158,9925
warmup,47.000,64855,,64855,0,64622,2472,5148,5994,7920,9275,3506,7610,8181,9092,9831
warmup,48.000,65867,,65867,0,66060,2543,5127,5733,6874,7454,2346,7330,7995,8897,9671
warmup,49.000,66254,,66254,0,66128,2261,4916,5537,6543,7266,2952,7383,7967,8845,9649
warmup,50.000,66278,,66303,0,66410,2513,4971,5603,6832,7360,2426,7380,7978,8789,9712
warmup,51.001,65136,,65111,0,65062,1280,5179,5938,7306,8211,3718,7314,8040,8912,9510
warmup,52.000,64126,,64171,0,64078,637,5129,5795,6950,7447,3337,7462,8181,9306,10036
warmup,53.000,64572,,64529,0,64606,2437,5008,5728,6721,7565,2477,7537,8203,9065,10088
warmup,54.000,64896,,64962,0,64969,1519,4993,5589,6525,7377,2841,7358,8046,8847,9624
warmup,55.000,64993,,64928,0,64852,2629,4969,5749,7657,8913,4828,7535,8084,8978,9856
warmup,56.000,67279,,67285,0,67335,2426,4876,5431,6349,7074,4089,7292,7785,8630,9416
warmup,57.000,66572,,66563,0,66600,2575,4904,5629,6667,7688,3215,7330,7893,8682,9650
