Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分28秒   999    100899   15.00    3.00    0.00    0.00   18.00     3    566.00      0.00 2674072  120256   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分29秒   999    100899  217.82   72.28    0.00    0.00  290.10     3  59584.16      0.00 2742576  168720   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分30秒   999    100899  282.00   97.00    0.00    0.00  379.00     3  50891.00      0.00 2743224  171672   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分31秒   999    100899  264.00  108.00    0.00    0.00  372.00     3   8195.00      0.00 2738868  169116   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分32秒   999    100899  265.00  104.00    0.00    0.00  369.00     3   5075.00      0.00 2738232  168016   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分33秒   999    100899  264.00  107.00    0.00    0.00  371.00     3   5321.00      0.00 2738172  168288   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分34秒   999    100899  256.00  117.00    0.00    0.00  373.00     3   4255.00      0.00 2737052  167472   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分35秒   999    100899  255.00  116.00    0.00    0.00  371.00     3   3927.00      0.00 2736332  167640   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分36秒   999    100899  264.00  104.00    0.00    0.00  368.00     3   3873.00      0.00 2733848  166988   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分37秒   999    100899  263.00  104.00    0.00    0.00  367.00     3   3196.00      0.00 2735432  167908   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分38秒   999    100899  253.00  112.00    0.00    0.00  365.00     3   2497.00      0.00 2735576  167264   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分39秒   999    100899  255.00  112.00    0.00    0.00  367.00     3   2706.00      0.00 2733960  165860   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分40秒   999    100899  251.00  115.00    0.00    0.00  366.00     3   2655.00      0.00 2732696  166300   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分41秒   999    100899  262.00  105.00    0.00    0.00  367.00     3   2111.00      0.00 2732616  165500   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分42秒   999    100899  254.00  115.00    0.00    0.00  369.00     3   2456.00      0.00 2732248  165384   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分43秒   999    100899  263.00  107.00    0.00    0.00  370.00     3   2376.00      0.00 2732104  164860   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时20分44秒   999    100899  256.00  115.00    0.00    0.00  371.00     3   4062.00      0.00 2729976  163396   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
