Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分28秒   999    132314   21.00    8.00    0.00    0.00   29.00     3     70.00      0.00 2671952  120776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分29秒   999    132314   47.00   16.00    0.00    0.00   63.00     3     36.00      0.00 2671440  120776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分30秒   999    132314   44.00    9.00    0.00    0.00   53.00     3     90.00      0.00 2671440  120776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分31秒   999    132314   42.00   11.00    0.00    0.00   53.00     3     58.00      0.00 2671440  120776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分32秒   999    132314   45.00    7.00    0.00    0.00   52.00     3     83.00      0.00 2671440  120776   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分33秒   999    132314   40.00   14.00    0.00    0.00   54.00     3    121.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分34秒   999    132314   46.00    8.00    0.00    0.00   54.00     3     16.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分35秒   999    132314   41.00   13.00    0.00    0.00   54.00     3     16.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分36秒   999    132314   40.00   13.00    0.00    0.00   53.00     3     38.00      0.00 2671952  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分37秒   999    132314   38.00   15.00    0.00    0.00   53.00     3      8.00      0.00 2671952  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分38秒   999    132314   43.00   11.00    0.00    0.00   54.00     3     21.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分39秒   999    132314   42.00   11.00    0.00    0.00   53.00     3      0.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分40秒   999    132314   38.00   14.00    0.00    0.00   52.00     3      0.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分41秒   999    132314   41.00   12.00    0.00    0.00   53.00     3     11.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分42秒   999    132314   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2671440  121288   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时42分43秒   999    132314   42.00   11.00    0.00    0.00   53.00     3     83.00      0.00 2671952  121412   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
