Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分40秒   999    134351    3.00    1.00    0.00    0.00    4.00     2    136.00      0.00 2667832  122772   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分41秒   999    134351   66.00   16.00    0.00    0.00   82.00     2    281.00      0.00 2668600  123080   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分42秒   999    134351   45.00   10.00    0.00    0.00   55.00     2     40.00      0.00 2668600  123208   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分43秒   999    134351   45.00   10.00    0.00    0.00   55.00     2     21.00      0.00 2668600  123336   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分44秒   999    134351   44.00    9.00    0.00    0.00   53.00     2     15.00      0.00 2668600  123336   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分45秒   999    134351   41.00   14.00    0.00    0.00   55.00     2     94.00      0.00 2669112  123464   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分46秒   999    134351   44.00    9.00    0.00    0.00   53.00     2      2.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分47秒   999    134351   46.00    7.00    0.00    0.00   53.00     2      0.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分48秒   999    134351   43.00    9.00    0.00    0.00   52.00     2      0.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分49秒   999    134351   45.00    8.00    0.00    0.00   53.00     2     11.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分50秒   999    134351   42.00   12.00    0.00    0.00   54.00     2     74.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分51秒   999    134351   43.00   11.00    0.00    0.00   54.00     2      6.00      0.00 2669112  123592   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分52秒   999    134351   44.00   10.00    0.00    0.00   54.00     2     28.00      0.00 2669112  123720   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分53秒   999    134351   42.00   13.00    0.00    0.00   55.00     2     41.00      0.00 2669112  123720   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分54秒   999    134351   42.00   13.00    0.00    0.00   55.00     2     44.00      0.00 2669112  123720   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分55秒   999    134351   42.00   11.00    0.00    0.00   53.00     2     45.00      0.00 2669112  123720   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分56秒   999    134351   42.00   12.00    0.00    0.00   54.00     2     52.00      0.00 2669624  123720   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
